"N"	"gene"	"beta"	"pval"	"varexp"
"gene103454"	3250	"Aldoa"	NA	NA	NA
"gene103456"	3251	"Aldoa-ps4"	NA	NA	NA
"gene103457"	3252	"Aldoart1"	NA	NA	NA
"gene103458"	3253	"Aldoart2"	-0.109341057204924	1	0
"gene103459"	3254	"Aldob"	NA	NA	NA
"gene103460"	3255	"Aldoc"	NA	NA	NA
"gene103461"	3256	"Alg1"	NA	NA	NA
"gene103462"	3257	"Alg10b"	NA	NA	NA
"gene103463"	3258	"Alg11"	NA	NA	NA
"gene103464"	3259	"Alg12"	NA	NA	NA
"gene103465"	3260	"Alg13"	NA	NA	NA
"gene103466"	3261	"Alg14"	-4.22230267921795	1	0
"gene103467"	3262	"Alg2"	NA	NA	NA
"gene103468"	3263	"Alg3"	NA	NA	NA
"gene103469"	3264	"Alg5"	NA	NA	NA
"gene103470"	3265	"Alg6"	NA	NA	NA
"gene103471"	3266	"Alg8"	NA	NA	NA
"gene103472"	3267	"Alg9"	NA	NA	NA
"gene103473"	3268	"Alk"	NA	NA	NA
"gene103474"	3269	"Alkal1"	-0.0434795794163961	0.439700960918881	0.146757647102549
"gene103475"	3270	"Alkal2"	NA	NA	NA
"gene103476"	3271	"Alkbh1"	NA	NA	NA
"gene103477"	3272	"Alkbh2"	NA	NA	NA
"gene103478"	3273	"Alkbh3"	NA	NA	NA
"gene103479"	3274	"Alkbh3os1"	NA	NA	NA
"gene103480"	3275	"Alkbh4"	NA	NA	NA
"gene103481"	3276	"Alkbh5"	NA	NA	NA
"gene103482"	3277	"Alkbh6"	15.8037653874004	1	0
"gene103483"	3278	"Alkbh7"	NA	NA	NA
"gene103484"	3279	"Alkbh8"	NA	NA	NA
"gene103485"	3280	"Allc"	NA	NA	NA
"gene103486"	3281	"Alms1"	NA	NA	NA
"gene103487"	3282	"Alms1-ps1"	NA	NA	NA
"gene103488"	3283	"Alms1-ps2"	NA	NA	NA
"gene103489"	3284	"Alox12"	NA	NA	NA
"gene103490"	3285	"Alox12b"	0.0647656278438296	0.271477183358302	0.193692723641866
"gene103491"	3286	"Alox12e"	NA	NA	NA
"gene103492"	3287	"Alox15"	NA	NA	NA
"gene103493"	3288	"Alox5"	NA	NA	NA
"gene103494"	3289	"Alox5ap"	NA	NA	NA
"gene103495"	3290	"Alox8"	NA	NA	NA
"gene103496"	3291	"Aloxe3"	NA	NA	NA
"gene103497"	3292	"Alpi"	NA	NA	NA
"gene103498"	3293	"Alpk1"	4.31369463675493	0.249527890598698	0.162812929145789
"gene103499"	3294	"Alpk2"	NA	NA	NA
"gene103500"	3295	"Alpk3"	NA	NA	NA
"gene103501"	3296	"Alpl"	NA	NA	NA
"gene103502"	3297	"Alppl2"	NA	NA	NA
"gene103503"	3298	"Als2"	NA	NA	NA
"gene103504"	3299	"Als2cl"	NA	NA	NA
"gene103505"	3300	"Alx1"	NA	NA	NA
"gene103506"	3301	"Alx3"	0.0419985517740768	0.999999904884748	0
"gene103507"	3302	"Alx4"	NA	NA	NA
"gene103508"	3303	"Alyref"	NA	NA	NA
"gene103509"	3304	"Alyref2"	NA	NA	NA
"gene103510"	3305	"Amacr"	NA	NA	NA
"gene103511"	3306	"Ambn"	NA	NA	NA
"gene103512"	3307	"Ambp"	NA	NA	NA
"gene103513"	3308	"Ambra1"	NA	NA	NA
"gene103514"	3309	"Amd-ps1"	0.060138982379275	0.796662543900975	0.0329894885867437
"gene103515"	3310	"Amd-ps3"	NA	NA	NA
"gene103516"	3311	"Amd-ps4"	NA	NA	NA
"gene103517"	3312	"Amd-ps5"	NA	NA	NA
"gene103518"	3313	"Amd-ps6"	NA	NA	NA
"gene103519"	3314	"Amd-ps7"	NA	NA	NA
"gene103520"	3315	"Amd1"	NA	NA	NA
"gene103521"	3316	"Amd2"	NA	NA	NA
"gene103522"	3317	"Amdhd1"	0.407802210207745	2.48802295177267e-05	0.663834150875994
"gene103523"	3318	"Amdhd2"	NA	NA	NA
"gene103524"	3319	"Amelx"	NA	NA	NA
"gene103525"	3320	"Amer1"	NA	NA	NA
"gene103526"	3321	"Amer2"	NA	NA	NA
"gene103527"	3322	"Amer3"	NA	NA	NA
"gene103528"	3323	"Amfr"	NA	NA	NA
"gene103529"	3324	"Amh"	NA	NA	NA
"gene103530"	3325	"Amhr2"	0.0926864590876176	1	0
"gene103531"	3326	"Amigo1"	NA	NA	NA
"gene103532"	3327	"Amigo2"	NA	NA	NA
"gene103533"	3328	"Amigo3"	NA	NA	NA
"gene103534"	3329	"Ammecr1"	NA	NA	NA
"gene103535"	3330	"Ammecr1l"	NA	NA	NA
"gene103536"	3331	"Amn"	NA	NA	NA
"gene103537"	3332	"Amn1"	NA	NA	NA
"gene103538"	3333	"Amot"	1.5085521106106	0.393043035926785	0.123217669097388
"gene103539"	3334	"Amotl1"	NA	NA	NA
"gene103540"	3335	"Amotl2"	NA	NA	NA
"gene103541"	3336	"Ampd1"	NA	NA	NA
"gene103542"	3337	"Ampd2"	NA	NA	NA
"gene103543"	3338	"Ampd3"	NA	NA	NA
"gene103544"	3339	"Amph"	NA	NA	NA
"gene103545"	3340	"Amt"	NA	NA	NA
"gene103546"	3341	"Amtn"	-0.0340333091962346	1	0
"gene103547"	3342	"Amy1"	NA	NA	NA
"gene103548"	3343	"Amy2-ps1"	NA	NA	NA
"gene103549"	3344	"Amy2a1"	NA	NA	NA
"gene103552"	3345	"Amy2a4"	NA	NA	NA
"gene103553"	3346	"Amy2a5"	NA	NA	NA
"gene103554"	3347	"Amy2b"	NA	NA	NA
"gene103555"	3348	"Amz1"	NA	NA	NA
"gene103556"	3349	"Amz2"	33.4706423657029	0.00554073182906877	0.586492887774411
"gene103557"	3350	"Anapc1"	NA	NA	NA
"gene103558"	3351	"Anapc10"	NA	NA	NA
"gene103559"	3352	"Anapc11"	NA	NA	NA
"gene103560"	3353	"Anapc13"	NA	NA	NA
"gene103561"	3354	"Anapc15"	NA	NA	NA
"gene103562"	3355	"Anapc15-ps"	NA	NA	NA
"gene103563"	3356	"Anapc16"	NA	NA	NA
"gene103564"	3357	"Anapc2"	32.9430169819822	0.237306502305501	0.164962102463952
"gene103565"	3358	"Anapc4"	NA	NA	NA
"gene103566"	3359	"Anapc5"	NA	NA	NA
"gene103567"	3360	"Anapc7"	NA	NA	NA
"gene103568"	3361	"Ang"	NA	NA	NA
"gene103569"	3362	"Ang-ps1"	NA	NA	NA
"gene103570"	3363	"Ang-ps2"	NA	NA	NA
"gene103571"	3364	"Ang-ps3"	NA	NA	NA
"gene103572"	3365	"Ang2"	-0.0579290369297626	1	1.43023702336194e-14
"gene103573"	3366	"Ang4"	NA	NA	NA
"gene103574"	3367	"Ang5"	NA	NA	NA
"gene103575"	3368	"Ang6"	NA	NA	NA
"gene103576"	3369	"Angel1"	NA	NA	NA
"gene103577"	3370	"Angel2"	NA	NA	NA
"gene103578"	3371	"Angpt1"	NA	NA	NA
"gene103579"	3372	"Angpt2"	NA	NA	NA
"gene103580"	3373	"Angpt4"	-0.0627624918415385	0.663750819777492	0.0712350665042196
"gene103581"	3374	"Angptl1"	NA	NA	NA
"gene103582"	3375	"Angptl2"	NA	NA	NA
"gene103583"	3376	"Angptl3"	NA	NA	NA
"gene103584"	3377	"Angptl4"	NA	NA	NA
"gene103585"	3378	"Angptl6"	NA	NA	NA
"gene103586"	3379	"Angptl7"	NA	NA	NA
"gene103587"	3380	"Angptl8"	NA	NA	NA
"gene103588"	3381	"Ank"	6.33091962346127	1	0
"gene103589"	3382	"Ank1"	NA	NA	NA
"gene103590"	3383	"Ank2"	NA	NA	NA
"gene103591"	3384	"Ank3"	NA	NA	NA
"gene103592"	3385	"Ankar"	NA	NA	NA
"gene103593"	3386	"Ankdd1a"	NA	NA	NA
"gene103594"	3387	"Ankdd1b"	NA	NA	NA
"gene103595"	3388	"Ankef1"	NA	NA	NA
"gene103596"	3389	"Ankfn1"	-0.177407675597393	0.999999865486721	0
"gene103597"	3390	"Ankfy1"	NA	NA	NA
"gene103598"	3391	"Ankhd1"	NA	NA	NA
"gene103599"	3392	"Ankib1"	NA	NA	NA
"gene103600"	3393	"Ankk1"	NA	NA	NA
"gene103601"	3394	"Ankle1"	NA	NA	NA
"gene103602"	3395	"Ankle2"	NA	NA	NA
"gene103603"	3396	"Ankmy1"	NA	NA	NA
"gene103604"	3397	"Ankmy2"	-14.4352565731162	0.827182051852729	0.0314359750901642
"gene103605"	3398	"Ankra2"	NA	NA	NA
"gene103606"	3399	"Ankrd1"	NA	NA	NA
"gene103607"	3400	"Ankrd10"	NA	NA	NA
"gene103608"	3401	"Ankrd11"	NA	NA	NA
"gene103609"	3402	"Ankrd12"	NA	NA	NA
"gene103610"	3403	"Ankrd13a"	NA	NA	NA
"gene103611"	3404	"Ankrd13b"	NA	NA	NA
"gene103612"	3405	"Ankrd13c"	-16.2095358953877	0.701771072695363	0.0558324296480492
"gene103613"	3406	"Ankrd13d"	NA	NA	NA
"gene103614"	3407	"Ankrd16"	NA	NA	NA
"gene103615"	3408	"Ankrd17"	NA	NA	NA
"gene103616"	3409	"Ankrd2"	NA	NA	NA
"gene103617"	3410	"Ankrd22"	NA	NA	NA
"gene103618"	3411	"Ankrd23"	NA	NA	NA
"gene103619"	3412	"Ankrd24"	NA	NA	NA
"gene103620"	3413	"Ankrd26"	-6.34861958590252	0.517398312341082	0.114180853567756
"gene103621"	3414	"Ankrd27"	NA	NA	NA
"gene103622"	3415	"Ankrd28"	NA	NA	NA
"gene103623"	3416	"Ankrd29"	NA	NA	NA
"gene103624"	3417	"Ankrd31"	NA	NA	NA
"gene103625"	3418	"Ankrd33"	NA	NA	NA
"gene103626"	3419	"Ankrd33b"	NA	NA	NA
"gene103627"	3420	"Ankrd34a"	NA	NA	NA
"gene103628"	3421	"Ankrd34b"	-0.587255611875453	1	0
"gene103629"	3422	"Ankrd34c"	NA	NA	NA
"gene103630"	3423	"Ankrd35"	NA	NA	NA
"gene103631"	3424	"Ankrd36"	NA	NA	NA
"gene103632"	3425	"Ankrd37"	NA	NA	NA
"gene103633"	3426	"Ankrd39"	NA	NA	NA
"gene103634"	3427	"Ankrd40"	NA	NA	NA
"gene103635"	3428	"Ankrd42"	NA	NA	NA
"gene103636"	3429	"Ankrd44"	-159.412985536272	0.18460778422791	0.20037652468911
"gene103637"	3430	"Ankrd45"	NA	NA	NA
"gene103638"	3431	"Ankrd46"	NA	NA	NA
"gene103639"	3432	"Ankrd49"	NA	NA	NA
"gene103640"	3433	"Ankrd50"	NA	NA	NA
"gene103641"	3434	"Ankrd52"	NA	NA	NA
"gene103642"	3435	"Ankrd53"	NA	NA	NA
"gene103643"	3436	"Ankrd54"	NA	NA	NA
"gene103644"	3437	"Ankrd55"	1.02120390593096	0.00015017479191432	0.838005257336111
"gene103645"	3438	"Ankrd6"	NA	NA	NA
"gene103646"	3439	"Ankrd60"	NA	NA	NA
"gene103647"	3440	"Ankrd61"	NA	NA	NA
"gene103648"	3441	"Ankrd63"	NA	NA	NA
"gene103649"	3442	"Ankrd65"	NA	NA	NA
"gene103650"	3443	"Ankrd66"	NA	NA	NA
"gene103651"	3444	"Ankrd7"	NA	NA	NA
"gene103652"	3445	"Ankrd9"	2.05909135763377	0.353755318587912	0.127895962610738
"gene103653"	3446	"Anks1"	NA	NA	NA
"gene103654"	3447	"Anks1b"	NA	NA	NA
"gene103655"	3448	"Anks3"	NA	NA	NA
"gene103656"	3449	"Anks4b"	NA	NA	NA
"gene103657"	3450	"Anks6"	NA	NA	NA
"gene103658"	3451	"Ankub1"	NA	NA	NA
"gene103659"	3452	"Ankzf1"	NA	NA	NA
"gene103660"	3453	"Anln"	0.916264267597535	0.501779607072602	0.103153696740154
"gene103661"	3454	"Ano1"	NA	NA	NA
"gene103662"	3455	"Ano10"	NA	NA	NA
"gene103663"	3456	"Ano2"	NA	NA	NA
"gene103664"	3457	"Ano3"	NA	NA	NA
"gene103665"	3458	"Ano4"	NA	NA	NA
"gene103666"	3459	"Ano5"	NA	NA	NA
"gene103667"	3460	"Ano6"	NA	NA	NA
"gene103668"	3461	"Ano7"	-0.0362056480811006	1	0
"gene103669"	3462	"Ano8"	NA	NA	NA
"gene103670"	3463	"Ano9"	NA	NA	NA
"gene103671"	3464	"Anp32-ps"	NA	NA	NA
"gene103672"	3465	"Anp32a"	NA	NA	NA
"gene103673"	3466	"Anp32b"	NA	NA	NA
"gene103674"	3467	"Anp32b-ps1"	NA	NA	NA
"gene103675"	3468	"Anp32e"	NA	NA	NA
"gene103676"	3469	"Anpep"	3.47613437492703	0.0696531535423827	0.262569977056259
"gene103677"	3470	"Antxr1"	NA	NA	NA
"gene103678"	3471	"Antxr2"	NA	NA	NA
"gene103679"	3472	"Antxrl"	NA	NA	NA
"gene103680"	3473	"Anxa1"	NA	NA	NA
"gene103681"	3474	"Anxa10"	NA	NA	NA
"gene103682"	3475	"Anxa11"	NA	NA	NA
"gene103683"	3476	"Anxa11os"	NA	NA	NA
"gene103684"	3477	"Anxa13"	0.843415446687807	0.365176672710513	0.122665620225136
"gene103685"	3478	"Anxa2"	NA	NA	NA
"gene103686"	3479	"Anxa3"	NA	NA	NA
"gene103687"	3480	"Anxa4"	NA	NA	NA
"gene103688"	3481	"Anxa5"	NA	NA	NA
"gene103689"	3482	"Anxa6"	NA	NA	NA
"gene103690"	3483	"Anxa7"	NA	NA	NA
"gene103691"	3484	"Anxa8"	NA	NA	NA
"gene103692"	3485	"Anxa9"	-0.219794897735381	3.44699599501917e-05	0.710328872164126
"gene103693"	3486	"Aoah"	NA	NA	NA
"gene103694"	3487	"Aoc1"	NA	NA	NA
"gene103695"	3488	"Aoc2"	NA	NA	NA
"gene103696"	3489	"Aoc3"	NA	NA	NA
"gene103697"	3490	"Aopep"	NA	NA	NA
"gene103698"	3491	"Aox1"	NA	NA	NA
"gene103699"	3492	"Aox2"	NA	NA	NA
"gene103700"	3493	"Aox3"	0.161095773581575	0.63316702443036	0.0621458212754211
"gene103701"	3494	"Aox4"	NA	NA	NA
"gene103702"	3495	"Ap1ar"	NA	NA	NA
"gene103703"	3496	"Ap1b1"	NA	NA	NA
"gene103704"	3497	"Ap1g1"	NA	NA	NA
"gene103705"	3498	"Ap1g2"	NA	NA	NA
"gene103706"	3499	"Ap1m1"	NA	NA	NA
"gene103707"	3500	"Ap1m2"	NA	NA	NA
"gene103708"	3501	"Ap1s1"	8.540095387124	2.7414721483745e-05	0.630067012516318
"gene103709"	3502	"Ap1s2"	NA	NA	NA
"gene103710"	3503	"Ap1s3"	NA	NA	NA
"gene103711"	3504	"Ap2a1"	NA	NA	NA
"gene103712"	3505	"Ap2a2"	NA	NA	NA
"gene103713"	3506	"Ap2b1"	NA	NA	NA
"gene103714"	3507	"Ap2m1"	NA	NA	NA
"gene103715"	3508	"Ap2m1-ps"	NA	NA	NA
"gene103716"	3509	"Ap2s1"	14.777487724662	0.00068677633817325	0.523851634646749
"gene103717"	3510	"Ap3b1"	NA	NA	NA
"gene103718"	3511	"Ap3b2"	NA	NA	NA
"gene103719"	3512	"Ap3d1"	NA	NA	NA
"gene103720"	3513	"Ap3m1"	NA	NA	NA
"gene103721"	3514	"Ap3m1-ps"	NA	NA	NA
"gene103722"	3515	"Ap3m2"	NA	NA	NA
"gene103723"	3516	"Ap3s1"	NA	NA	NA
"gene103724"	3517	"Ap3s1-ps1"	0.255189587622442	0.0769477789221092	0.267390033904027
"gene103725"	3518	"Ap3s1-ps2"	NA	NA	NA
"gene103726"	3519	"Ap3s2"	NA	NA	NA
"gene103727"	3520	"Ap4b1"	NA	NA	NA
"gene103728"	3521	"Ap4e1"	NA	NA	NA
"gene103729"	3522	"Ap4m1"	NA	NA	NA
"gene103730"	3523	"Ap4s1"	NA	NA	NA
"gene103731"	3524	"Ap5b1"	NA	NA	NA
"gene103732"	3525	"Ap5m1"	-10.6349316269257	0.560774901470051	0.0918739897229693
"gene103733"	3526	"Ap5s1"	NA	NA	NA
"gene103734"	3527	"Ap5z1"	NA	NA	NA
"gene103735"	3528	"Apaf1"	NA	NA	NA
"gene103736"	3529	"Apba1"	NA	NA	NA
"gene103737"	3530	"Apba2"	NA	NA	NA
"gene103738"	3531	"Apba3"	NA	NA	NA
"gene103739"	3532	"Apbb1"	NA	NA	NA
"gene103740"	3533	"Apbb1ip"	-33.8611564255341	0.000928620457655184	0.488084669378188
"gene103741"	3534	"Apbb2"	NA	NA	NA
"gene103742"	3535	"Apbb3"	NA	NA	NA
"gene103743"	3536	"Apc"	NA	NA	NA
"gene103744"	3537	"Apc-ps1"	NA	NA	NA
"gene103745"	3538	"Apc2"	NA	NA	NA
"gene103746"	3539	"Apcdd1"	NA	NA	NA
"gene103747"	3540	"Apcs"	NA	NA	NA
"gene103748"	3541	"Apeh"	19.8883688049037	0.267360584248422	0.167496272067031
"gene103750"	3542	"Apex1"	NA	NA	NA
"gene103751"	3543	"Apex2"	NA	NA	NA
"gene103752"	3544	"Aph1a"	NA	NA	NA
"gene103753"	3545	"Aph1b"	NA	NA	NA
"gene103754"	3546	"Aph1c"	NA	NA	NA
"gene103755"	3547	"Api5"	NA	NA	NA
"gene103756"	3548	"Api5-ps"	NA	NA	NA
"gene103757"	3549	"Apip"	4.48877624909486	1	0
"gene103758"	3550	"Aplf"	NA	NA	NA
"gene103759"	3551	"Apln"	NA	NA	NA
"gene103760"	3552	"Aplnr"	NA	NA	NA
"gene103761"	3553	"Aplp1"	NA	NA	NA
"gene103762"	3554	"Aplp2"	NA	NA	NA
"gene103763"	3555	"Apmap"	NA	NA	NA
"gene103764"	3556	"Apoa1"	NA	NA	NA
"gene103765"	3557	"Apoa2"	0.737871107892831	1	0
"gene103766"	3558	"Apoa4"	NA	NA	NA
"gene103767"	3559	"Apoa5"	NA	NA	NA
"gene103768"	3560	"Apob"	NA	NA	NA
"gene103769"	3561	"Apobec1"	NA	NA	NA
"gene103770"	3562	"Apobec2"	NA	NA	NA
"gene103771"	3563	"Apobec3"	NA	NA	NA
"gene103772"	3564	"Apobec4"	NA	NA	NA
"gene103773"	3565	"Apobr"	27.8261678179552	0.000309065421423686	0.669823324229317
"gene103774"	3566	"Apoc1"	NA	NA	NA
"gene103775"	3567	"Apoc2"	NA	NA	NA
"gene103776"	3568	"Apoc3"	NA	NA	NA
"gene103777"	3569	"Apoc4"	NA	NA	NA
"gene103778"	3570	"Apod"	NA	NA	NA
"gene103779"	3571	"Apoe"	NA	NA	NA
"gene103780"	3572	"Apof"	NA	NA	NA
"gene103781"	3573	"Apoh"	0.068377818716913	0.298171533486159	0.148011803063592
"gene103782"	3574	"Apol10a"	NA	NA	NA
"gene103783"	3575	"Apol10b"	NA	NA	NA
"gene103784"	3576	"Apol10c-ps"	NA	NA	NA
"gene103785"	3577	"Apol11a"	NA	NA	NA
"gene103786"	3578	"Apol11b"	NA	NA	NA
"gene103787"	3579	"Apol6"	NA	NA	NA
"gene103788"	3580	"Apol7a"	NA	NA	NA
"gene103789"	3581	"Apol7b"	38.2802317161477	1	0
"gene103790"	3582	"Apol7c"	NA	NA	NA
"gene103791"	3583	"Apol7d"	NA	NA	NA
"gene103792"	3584	"Apol7e"	NA	NA	NA
"gene103793"	3585	"Apol8"	NA	NA	NA
"gene103794"	3586	"Apol9a"	NA	NA	NA
"gene103795"	3587	"Apol9b"	NA	NA	NA
"gene103796"	3588	"Apold1"	NA	NA	NA
"gene103797"	3589	"Apom"	0.235631201197068	0.184939395358802	0.227995525185119
"gene103798"	3590	"Apon"	NA	NA	NA
"gene103799"	3591	"Apoo"	NA	NA	NA
"gene103800"	3592	"Apoo-ps"	NA	NA	NA
"gene103801"	3593	"Apool"	NA	NA	NA
"gene103802"	3594	"Apopt1"	NA	NA	NA
"gene103803"	3595	"App"	NA	NA	NA
"gene103804"	3596	"Appbp2"	NA	NA	NA
"gene103805"	3597	"Appbp2os"	-0.55032585083273	1	0
"gene103806"	3598	"Appl1"	NA	NA	NA
"gene103807"	3599	"Appl2"	NA	NA	NA
"gene103808"	3600	"Aprt"	NA	NA	NA
"gene103810"	3601	"Aptx"	NA	NA	NA
"gene103811"	3602	"Aqp1"	NA	NA	NA
"gene103812"	3603	"Aqp10-ps"	NA	NA	NA
"gene103813"	3604	"Aqp11"	NA	NA	NA
"gene103814"	3605	"Aqp12"	0.0782041998551774	1	0
"gene103815"	3606	"Aqp2"	NA	NA	NA
"gene103816"	3607	"Aqp3"	NA	NA	NA
"gene103817"	3608	"Aqp4"	NA	NA	NA
"gene103818"	3609	"Aqp5"	NA	NA	NA
"gene103819"	3610	"Aqp6"	NA	NA	NA
"gene103820"	3611	"Aqp7"	NA	NA	NA
"gene103821"	3612	"Aqp8"	NA	NA	NA
"gene103822"	3613	"Aqp9"	-54.3830301989304	3.36539261000283e-10	0.898978515104698
"gene103823"	3614	"Aqr"	NA	NA	NA
"gene103824"	3615	"Ar"	NA	NA	NA
"gene103825"	3616	"Araf"	NA	NA	NA
"gene103826"	3617	"Arap1"	NA	NA	NA
"gene103827"	3618	"Arap2"	NA	NA	NA
"gene103828"	3619	"Arap3"	NA	NA	NA
"gene103829"	3620	"Arc"	NA	NA	NA
"gene103830"	3621	"Arcn1"	-22.0987185933448	0.0864008766554907	0.244820457673651
"gene103831"	3622	"Areg"	NA	NA	NA
"gene103832"	3623	"Arel1"	NA	NA	NA
"gene103833"	3624	"Arf1"	NA	NA	NA
"gene103834"	3625	"Arf2"	NA	NA	NA
"gene103835"	3626	"Arf3"	NA	NA	NA
"gene103836"	3627	"Arf4"	NA	NA	NA
"gene103837"	3628	"Arf4os"	NA	NA	NA
"gene103838"	3629	"Arf5"	5.85768206427076	0.00398705368812313	0.479562031344266
"gene103839"	3630	"Arf6"	NA	NA	NA
"gene103840"	3631	"Arfgap1"	NA	NA	NA
"gene103841"	3632	"Arfgap2"	NA	NA	NA
"gene103842"	3633	"Arfgap3"	NA	NA	NA
"gene103843"	3634	"Arfgef1"	NA	NA	NA
"gene103844"	3635	"Arfgef2"	NA	NA	NA
"gene103845"	3636	"Arfgef3"	NA	NA	NA
"gene103846"	3637	"Arfip1"	-4.83551540311031	0.0993903037568977	0.298508288106148
"gene103847"	3638	"Arfip2"	NA	NA	NA
"gene103848"	3639	"Arfrp1"	NA	NA	NA
"gene103849"	3640	"Arg1"	NA	NA	NA
"gene103850"	3641	"Arg2"	NA	NA	NA
"gene103851"	3642	"Arglu1"	NA	NA	NA
"gene103852"	3643	"Arhgap1"	NA	NA	NA
"gene103853"	3644	"Arhgap10"	NA	NA	NA
"gene103854"	3645	"Arhgap11a"	-0.397259830850242	0.359187627495667	0.135010084024747
"gene103855"	3646	"Arhgap12"	NA	NA	NA
"gene103856"	3647	"Arhgap15"	NA	NA	NA
"gene103857"	3648	"Arhgap15os"	NA	NA	NA
"gene103858"	3649	"Arhgap17"	NA	NA	NA
"gene103859"	3650	"Arhgap18"	NA	NA	NA
"gene103860"	3651	"Arhgap19"	NA	NA	NA
"gene103861"	3652	"Arhgap20"	NA	NA	NA
"gene103862"	3653	"Arhgap20os"	-0.163598646454676	0.31004011609311	0.186954556281632
"gene103863"	3654	"Arhgap21"	NA	NA	NA
"gene103864"	3655	"Arhgap22"	NA	NA	NA
"gene103865"	3656	"Arhgap23"	NA	NA	NA
"gene103866"	3657	"Arhgap24"	NA	NA	NA
"gene103867"	3658	"Arhgap25"	NA	NA	NA
"gene103868"	3659	"Arhgap26"	NA	NA	NA
"gene103869"	3660	"Arhgap27"	NA	NA	NA
"gene103870"	3661	"Arhgap27os1"	0.331643736422882	1	0
"gene103871"	3662	"Arhgap27os2"	NA	NA	NA
"gene103872"	3663	"Arhgap27os3"	NA	NA	NA
"gene103873"	3664	"Arhgap28"	NA	NA	NA
"gene103874"	3665	"Arhgap29"	NA	NA	NA
"gene103875"	3666	"Arhgap30"	NA	NA	NA
"gene103876"	3667	"Arhgap31"	NA	NA	NA
"gene103877"	3668	"Arhgap32"	NA	NA	NA
"gene103878"	3669	"Arhgap33"	0.676962739563023	0.0272902192308983	0.39969978897832
"gene103879"	3670	"Arhgap33os"	NA	NA	NA
"gene103880"	3671	"Arhgap35"	NA	NA	NA
"gene103881"	3672	"Arhgap36"	NA	NA	NA
"gene103882"	3673	"Arhgap39"	NA	NA	NA
"gene103883"	3674	"Arhgap4"	NA	NA	NA
"gene103884"	3675	"Arhgap40"	NA	NA	NA
"gene103885"	3676	"Arhgap42"	NA	NA	NA
"gene103886"	3677	"Arhgap44"	-0.184648805213613	1	0
"gene103887"	3678	"Arhgap45"	NA	NA	NA
"gene103888"	3679	"Arhgap5"	NA	NA	NA
"gene103889"	3680	"Arhgap6"	NA	NA	NA
"gene103890"	3681	"Arhgap8"	NA	NA	NA
"gene103891"	3682	"Arhgap9"	NA	NA	NA
"gene103892"	3683	"Arhgdia"	NA	NA	NA
"gene103893"	3684	"Arhgdib"	NA	NA	NA
"gene103894"	3685	"Arhgdig"	-0.152063721940623	1	0
"gene103895"	3686	"Arhgef1"	NA	NA	NA
"gene103896"	3687	"Arhgef10"	NA	NA	NA
"gene103897"	3688	"Arhgef10l"	NA	NA	NA
"gene103898"	3689	"Arhgef11"	NA	NA	NA
"gene103899"	3690	"Arhgef12"	NA	NA	NA
"gene103900"	3691	"Arhgef15"	NA	NA	NA
"gene103901"	3692	"Arhgef16"	NA	NA	NA
"gene103902"	3693	"Arhgef17"	0.10427226647357	1	0
"gene103903"	3694	"Arhgef18"	NA	NA	NA
"gene103904"	3695	"Arhgef19"	NA	NA	NA
"gene103905"	3696	"Arhgef2"	NA	NA	NA
"gene103906"	3697	"Arhgef25"	NA	NA	NA
"gene103907"	3698	"Arhgef26"	NA	NA	NA
"gene103908"	3699	"Arhgef28"	NA	NA	NA
"gene103909"	3700	"Arhgef3"	NA	NA	NA
"gene103910"	3701	"Arhgef33"	-0.539530460828803	0.940683773866484	0.011494837167398
"gene103911"	3702	"Arhgef37"	NA	NA	NA
"gene103912"	3703	"Arhgef38"	NA	NA	NA
"gene103913"	3704	"Arhgef39"	NA	NA	NA
"gene103914"	3705	"Arhgef4"	NA	NA	NA
"gene103915"	3706	"Arhgef40"	NA	NA	NA
"gene103916"	3707	"Arhgef5"	NA	NA	NA
"gene103917"	3708	"Arhgef6"	NA	NA	NA
"gene103918"	3709	"Arhgef7"	-9.06509590965478	0.29179315463548	0.149267322915336
"gene103919"	3710	"Arhgef9"	NA	NA	NA
"gene103920"	3711	"Arid1a"	NA	NA	NA
"gene103921"	3712	"Arid1b"	NA	NA	NA
"gene103922"	3713	"Arid2"	NA	NA	NA
"gene103923"	3714	"Arid3a"	NA	NA	NA
"gene103924"	3715	"Arid3b"	NA	NA	NA
"gene103925"	3716	"Arid3c"	NA	NA	NA
"gene103926"	3717	"Arid4a"	-31.3960897900072	1	0
"gene103927"	3718	"Arid4b"	NA	NA	NA
"gene103928"	3719	"Arid5a"	NA	NA	NA
"gene103929"	3720	"Arid5b"	NA	NA	NA
"gene103930"	3721	"Arih1"	NA	NA	NA
"gene103931"	3722	"Arih2"	NA	NA	NA
"gene103932"	3723	"Arl1"	NA	NA	NA
"gene103933"	3724	"Arl10"	NA	NA	NA
"gene103934"	3725	"Arl11"	12.4934048929256	0.572845782076785	0.0808635037063049
"gene103935"	3726	"Arl13a"	NA	NA	NA
"gene103936"	3727	"Arl13b"	NA	NA	NA
"gene103937"	3728	"Arl14"	NA	NA	NA
"gene103938"	3729	"Arl14ep"	NA	NA	NA
"gene103939"	3730	"Arl14epl"	NA	NA	NA
"gene103940"	3731	"Arl15"	NA	NA	NA
"gene103941"	3732	"Arl16"	NA	NA	NA
"gene103942"	3733	"Arl2"	-0.289360601255552	0.0129334849909975	0.439815760065701
"gene103943"	3734	"Arl2bp"	NA	NA	NA
