© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
CCND2	 	other	 	 	 	3.76E-02	CCND3	 
LRRC17	 	other	 	 	 	3.76E-02	NFATC1	 
HNRNPL	 	other	 	 	 	3.76E-02	PTPRC	 
MXD4	10.842	transcription regulator	 	 	 	3.76E-02	ID2	 
IFRD1	 	other	 	 	 	3.76E-02	NFATC1	 
MYO9B	 	enzyme	 	 	 	3.76E-02	RHOA	 
DUSP5	 	phosphatase	 	 	 	3.76E-02	PRDM1	 
IREB2	 	translation regulator	 	 	 	3.76E-02	FTH1	 
TNFSF10	 	cytokine	 	 	 	3.76E-02	Gzmb	 
TXNIP	 	other	 	 	 	3.76E-02	IL2RB	 
HCST	 	transmembrane receptor	 	 	 	3.76E-02	Klrk1	 
MXD3	 	transcription regulator	 	 	 	3.76E-02	ID2	 
EVL	 	other	 	 	 	3.76E-02	ITGA4	 
Rfx5	 	other	 	 	 	3.76E-02	HLA-A	 
PTPRCAP	 	other	 	 	 	3.76E-02	PTPRC	 
HIF1A	 	transcription regulator	 	0.152	bias	3.77E-02	CCR2,CCR5,ENO1,PKM	 
LRBA	 	other	 	 	 	4.27E-02	CCL3L3,CCL5	 
DNMT1	 	enzyme	 	 	 	4.27E-02	Gzmb,PRF1	 
NEK6	 	kinase	 	 	 	4.27E-02	FGL2,RGS1	 
TRAF3	 	enzyme	 	0.000	bias	4.52E-02	ICAM1,IL2RB,Serpina3g (includes others),TBX21	 
BTK	 	kinase	 	 	 	4.52E-02	BCL2L1,CCND3,NFATC1,SPN	 
KLF2	 	transcription regulator	 	 	 	4.80E-02	CCL5,CX3CR1,S1PR5	 
BCL11B	 	transcription regulator	 	 	 	4.80E-02	Gzmb,NCR1,TBX21	 
CX3CL1	 	cytokine	Activated	2.000	 	8.27E-02	CD200R1L,CST7,Ctla2a/Ctla2b,GYG1	 
