© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Tumoricidal Function of Hepatic Natural Killer Cells	2.96E00	2.27E-01	NaN	FASLG,ICAM1,ITGAL,PRF1,SERPINB9	
Th17 Activation Pathway	2.96E00	1.29E-01	1.667	FCER1G,HSP90AB1,HSP90B1,IL12RB2,IRAK2,JAK1,NFATC1,STAT4,TYK2	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	2.95E00	1.11E-01	2.714	Calm1 (includes others),FCER1G,FYN,MALT1,MAP3K1,NFATC1,PLCG2,PPP3CA,PPP3CC,RAP1B,SMAD3	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	2.89E00	9.09E-02	2.840	FASLG,ID2,JAK1,MAP2K3,MAP3K1,PIK3CG,PIK3R1,PIK3R5,RAP1B,RHOA,SMAD3,TNFRSF1B,TYK2,VIM,ZEB2	
mTOR Signaling	2.87E00	8.74E-02	2.111	Cdc42,FNBP1,PIK3CG,PIK3R1,PIK3R5,PLD3,PPM1J,PRKAB1,PRKCB,PRR5L,RAC2,RAP1B,RHOA,RHOF,RPS12,RPS18	
Calcium-induced T Lymphocyte Apoptosis	2.84E00	1.36E-01	2.646	ATP2A3,Calm1 (includes others),CAPN2,FCER1G,HLA-A,PPP3CA,PPP3CC,PRKCB	
IL-2 Signaling	2.84E00	1.36E-01	2.828	IL2RB,JAK1,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,SYK	
IL-15 Signaling	2.83E00	1.23E-01	3.000	BCL2L1,IL2RB,JAK1,PIK3CG,PIK3R1,PIK3R5,RAP1B,SYK,TYK2	
Agranulocyte Adhesion and Diapedesis	2.82E00	9.27E-02	NaN	ACTB,ACTG1,CCL3L3,CCL4,CCL5,CCR2,CCR5,ICAM1,ITGA4,ITGB1,ITGB2,MYL6,SELPLG,XCL1	
RANK Signaling in Osteoclasts	2.81E00	1.14E-01	3.162	Calm1 (includes others),CBL,MAP3K1,NFATC1,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PTK2B	
SPINK1 General Cancer Pathway	2.79E00	1.49E-01	1.890	GZMA,JAK1,PIK3CG,PIK3R1,PIK3R5,RAP1B,TYK2	
Cholecystokinin/Gastrin-mediated Signaling	2.78E00	1.06E-01	3.000	Cdc42,FNBP1,MAP2K3,MEF2A,MEF2C,PRKCB,PTK2B,RAC2,RAP1B,RHOA,RHOF	
Role of Tissue Factor in Cancer	2.78E00	1.06E-01	NaN	BCL2L1,CFL1,FYN,ITGB1,LYN,P4HB,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B	
Renin-Angiotensin Signaling	2.71E00	1.04E-01	3.317	CCL5,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A,PRKCB,PTK2B,RAP1B	
HIPPO signaling	2.7E00	1.18E-01	-0.816	CD44,ITCH,MOB1A,PPM1J,PPP1CA,PPP1R12A,SMAD3,YWHAB,YWHAQ	
IL-4 Signaling	2.7E00	1.18E-01	NaN	HLA-A,INPP5D,JAK1,NFATC1,PIK3CG,PIK3R1,PIK3R5,RAP1B,TYK2	
Apelin Endothelial Signaling Pathway	2.65E00	9.68E-02	3.317	Calm1 (includes others),GNB1,ICAM1,MEF2A,MEF2C,PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKCB,RAP1B,SMAD3	
3-phosphoinositide Biosynthesis	2.64E00	8.57E-02	3.317	INPP5D,PIK3CG,PIK3R1,PIK3R5,PPM1H,PPM1J,PPP1CA,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPRC,SSH1	
CCR5 Signaling in Macrophages	2.63E00	1.08E-01	2.646	Calm1 (includes others),CCL4,CCL5,CCR5,FASLG,FCER1G,GNB1,PLCG2,PRKCB,PTK2B	
Opioid Signaling Pathway	2.61E00	7.83E-02	2.828	Calm1 (includes others),CAMK2G,CLTC,FYN,GNB1,GRINA,LYN,MAP2K3,PIK3CG,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,RAC2,RAP1B,RGS1,RGS3	
Sertoli Cell-Sertoli Cell Junction Signaling	2.59E00	8.47E-02	NaN	ACTB,ACTG1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MAP2K3,MAP3K1,PRKACB,PRKAR1A,RAB8B,RAP1B,SPTAN1	
eNOS Signaling	2.56E00	9.45E-02	2.333	Calm1 (includes others),HSP90AB1,HSP90B1,HSPA8,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKAB1,PRKACB,PRKAR1A,PRKCB	
Nitric Oxide Signaling in the Cardiovascular System	2.56E00	1.05E-01	2.530	ATP2A3,Calm1 (includes others),HSP90AB1,HSP90B1,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,PRKCB	
14-3-3-mediated Signaling	2.55E00	9.91E-02	3.000	CBL,PDCD6IP,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B,VIM,YWHAB,YWHAQ	
TREM1 Signaling	2.52E00	1.21E-01	2.828	CASP1,FCGR2B,ICAM1,ITGAX,ITGB1,LAT2,NOD1,PLCG2	
Superpathway of Inositol Phosphate Compounds	2.52E00	8.08E-02	3.606	INPP5D,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPM1H,PPM1J,PPP1CA,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPRC,SSH1	
Endocannabinoid Cancer Inhibition Pathway	2.42E00	9.09E-02	-1.155	CASP1,CCND3,MAP2K3,NSMAF,PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKACB,PRKAR1A,RHOA,VIM	
nNOS Signaling in Neurons	2.42E00	1.46E-01	2.000	Calm1 (includes others),CAPN2,GRINA,PPP3CA,PPP3CC,PRKCB	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.4E00	7.17E-02	NaN	Calm1 (includes others),CAMK2G,CCL5,ICAM1,IL18R1,IL18RAP,IRAK2,MAP2K3,NFATC1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKCB,RAP1B,RHOA,TNFRSF1B,TRAF1	
Necroptosis Signaling Pathway	2.4E00	9.02E-02	3.464	CAMK2G,CAPN2,CASP1,FASLG,GLUD1,JAK1,PPP3CA,PPP3CC,PYCARD,RBL2,TNFRSF1B,TSPO	
Senescence Pathway	2.38E00	7.28E-02	3.153	BHLHE40,Calm1 (includes others),CAPN2,CCND3,ELF4,MAP2K3,NFATC1,PCGF6,PIK3CG,PIK3R1,PIK3R5,PPM1J,PPP1CA,PPP3CA,PPP3CC,RAP1B,RBL2,SMAD3,SQSTM1	
Nur77 Signaling in T Lymphocytes	2.37E00	1.06E-01	2.646	B2M,Calm1 (includes others),FASLG,FCER1G,HLA-A,NFATC1,PPP3CA,PPP3CC,PRKCB	
Ephrin A Signaling	2.36E00	1.43E-01	NaN	CFL1,FYN,PIK3CG,PIK3R1,PIK3R5,RHOA	
Apelin Pancreas Signaling Pathway	2.36E00	1.43E-01	0.816	PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKACB,PRKAR1A	
Unfolded protein response	2.34E00	1.05E-01	2.236	ATF6,DNAJC1,DNAJC15,HSP90B1,HSPA8,HSPH1,OS9,P4HB,XBP1	
IL-7 Signaling Pathway	2.32E00	1.13E-01	2.828	CCND3,FYN,JAK1,LYN,NFATC1,PIK3CG,PIK3R1,PIK3R5	
HIF1α Signaling	2.3E00	7.89E-02	2.673	CAMK2G,HSPA8,MAP2K3,PIK3CG,PIK3R1,PIK3R5,PKM,PLCG2,PPP3CA,PPP3CC,PRKCB,RAC2,RAP1B,SAT1,VIM	
Neuropathic Pain Signaling In Dorsal Horn Neurons	2.3E00	1.03E-01	3.000	CAMK2G,GRINA,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A,PRKCB	
Netrin Signaling	2.3E00	1.23E-01	2.646	NCK1,NFATC1,PPP3CA,PPP3CC,PRKACB,PRKAR1A,RAC2	
Regulation of eIF4 and p70S6K Signaling	2.28E00	8.39E-02	1.890	ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,PIK3CG,PIK3R1,PIK3R5,PPM1J,RAP1B,RPS12,RPS18	
Dendritic Cell Maturation	2.26E00	8.33E-02	2.887	B2M,FCER1G,FCGR2A,FCGR2B,HLA-A,ICAM1,IRF8,PIK3CG,PIK3R1,PIK3R5,PLCG2,STAT4,TNFRSF1B	
IL-23 Signaling Pathway	2.21E00	1.33E-01	2.449	IL12RB2,PIK3CG,PIK3R1,PIK3R5,STAT4,TYK2	
MSP-RON Signaling In Cancer Cells Pathway	2.21E00	8.94E-02	3.317	ELF4,FLNA,ITGB1,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,VIM,YWHAB,YWHAQ	
NF-κB Activation by Viruses	2.18E00	1.07E-01	2.646	CCR5,ITGB1,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PRKCB,RAP1B	
Colorectal Cancer Metastasis Signaling	2.14E00	7.2E-02	3.742	BCL2L1,Cdc42,FNBP1,GNB1,IFNGR1,JAK1,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAC2,RAP1B,RHOA,RHOF,SMAD3,TYK2	
Insulin Secretion Signaling Pathway	2.14E00	7.37E-02	4.000	CAMK2G,FYN,JAK1,LYN,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A,PRKCB,RAP1B,SPCS3,SSR1,STAT4,TYK2	
SAPK/JNK Signaling	2.13E00	9.17E-02	3.162	FCER1G,GNB1,MAP3K1,NFATC1,PIK3CG,PIK3R1,PIK3R5,RAC2,RAP1B,SH2D2A	
PPARα/RXRα Activation	2.1E00	7.98E-02	0.577	ADIPOR1,HSP90AB1,HSP90B1,IL18RAP,MAP2K3,MEF2C,PLCG2,PRKAB1,PRKACB,PRKAR1A,PRKCB,RAP1B,SMAD3	
Melatonin Signaling	2.1E00	1.13E-01	1.890	Calm1 (includes others),CAMK2G,MAP2K3,PLCG2,PRKACB,PRKAR1A,PRKCB	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	2.1E00	1.47E-01	NaN	B2M,FASLG,FCER1G,HLA-A,PRF1	
D-myo-inositol-5-phosphate Metabolism	2.08E00	7.93E-02	3.000	INPP5D,PLCG2,PPM1H,PPM1J,PPP1CA,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPRC,SSH1	
Dopamine-DARPP32 Feedback in cAMP Signaling	2.03E00	8.11E-02	2.111	ATP2A3,Calm1 (includes others),GRINA,PLCG2,PPM1J,PPP1CA,PPP1R12A,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB	
CCR3 Signaling in Eosinophils	2.03E00	8.85E-02	2.236	Calm1 (includes others),CFL1,GNB1,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,PRKCB,RAP1B,RHOA	
Endocannabinoid Developing Neuron Pathway	2.03E00	8.85E-02	2.828	GNB1,MAP2K3,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAC2,RAP1B,RHOA	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.02E00	1.74E-01	NaN	IFNGR1,JAK1,PTPN2,TYK2	
JAK/Stat Signaling	2.02E00	1E-01	2.828	BCL2L1,JAK1,PIK3CG,PIK3R1,PIK3R5,RAP1B,STAT4,TYK2	
Role of PKR in Interferon Induction and Antiviral Response	2E00	8.77E-02	1.000	CASP1,FASLG,HSP90AB1,HSP90B1,HSPA8,IFNGR1,JAK1,MAP2K3,PYCARD,TYK2	
Telomerase Signaling	2E00	9.28E-02	2.333	ELF4,HSP90AB1,HSP90B1,IL2RB,PIK3CG,PIK3R1,PIK3R5,PPM1J,RAP1B	
IGF-1 Signaling	2E00	9.28E-02	2.646	JAK1,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAP1B,YWHAB,YWHAQ	
Ephrin B Signaling	1.99E00	1.08E-01	0.000	CAP1,CBL,CFL1,GNB1,RAC2,RGS3,RHOA	
Breast Cancer Regulation by Stathmin1	1.98E00	5.99E-02	3.530	ADGRE5,ADORA2A,ARHGEF18,ARHGEF2,ARHGEF3,CAMK2G,CCND3,CCR2,CCR5,CX3CR1,F2R,GNB1,GPR171,P2RY10,PIK3CG,PIK3R1,PIK3R5,PPM1J,PPP1CA,PPP1R12A,PRKACB,PRKAR1A,PRKCB,RAC2,RAP1B,RHOA,S1PR5	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.97E00	7.95E-02	2.828	INPP5D,PPM1H,PPM1J,PPP1CA,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPRC,SSH1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.97E00	7.95E-02	2.828	INPP5D,PPM1H,PPM1J,PPP1CA,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPRC,SSH1	
Apelin Cardiomyocyte Signaling Pathway	1.95E00	9.76E-02	2.828	ATP2A3,MYL12B,MYL6,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB	
AMPK Signaling	1.94E00	7.18E-02	2.714	ACTB,AK3,GNB1,MAP2K3,PFKP,PIK3CG,PIK3R1,PIK3R5,PPM1H,PPM1J,PRKAB1,PRKACB,PRKAR1A,RAB11A,RAB8A	
Glioma Signaling	1.92E00	8.55E-02	2.828	Calm1 (includes others),CAMK2G,CCND3,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B,RBL2	
ErbB Signaling	1.92E00	9.64E-02	2.828	MAP2K3,NCK1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B	
GDNF Family Ligand-Receptor Interactions	1.89E00	1.03E-01	2.646	DOK2,NCK1,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP1B	
Aldosterone Signaling in Epithelial Cells	1.88E00	8.03E-02	2.236	DNAJC1,DNAJC15,HSP90AB1,HSP90B1,HSPA8,HSPH1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB	
CNTF Signaling	1.87E00	1.13E-01	2.449	JAK1,PIK3CG,PIK3R1,PIK3R5,RAP1B,TYK2	
Cellular Effects of Sildenafil (Viagra)	1.86E00	8.82E-02	NaN	ACTB,ACTG1,Calm1 (includes others),MYL12B,MYL6,PLCG2,PPP1R12A,PRKACB,PRKAR1A	
Melanocyte Development and Pigmentation Signaling	1.84E00	9.3E-02	2.828	KIT,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A,RAP1B	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.81E00	7.11E-02	NaN	Calm1 (includes others),CBL,IL18R1,IL18RAP,MAP2K3,NFATC1,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PTK2B,RUNX2,TNFRSF1B	
Osteoarthritis Pathway	1.81E00	7.11E-02	2.333	ANXA2,CASP1,IL18RAP,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,MEF2C,PRKAB1,RUNX2,SMAD3,TNFRSF1B	
Corticotropin Releasing Hormone Signaling	1.78E00	8.13E-02	2.646	ARPC5,Calm1 (includes others),FASLG,MEF2A,MEF2C,PLCG2,PRKACB,PRKAR1A,PRKCB,RAP1B	
Autophagy	1.77E00	7.04E-02	2.138	Calm1 (includes others),DAPK2,GABARAP,PIK3CG,PIK3R1,PIK3R5,PPM1J,PPP3CA,PPP3CC,PRKAB1,PRKACB,PRKAR1A,SQSTM1,TNFRSF1B	
3-phosphoinositide Degradation	1.74E00	7.41E-02	3.000	INPP5D,PPM1H,PPM1J,PPP1CA,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPRC,SSH1	
Sumoylation Pathway	1.7E00	8.79E-02	-1.633	ARHGDIA,Cdc42,FASLG,FNBP1,RAC2,RFC2,RHOA,RHOF	
Ferroptosis Signaling Pathway	1.69E00	8.26E-02	1.000	ARF1,ARF4,FTH1,H2AZ1,PRKAB1,RAP1B,RBL2,SAT1,SQSTM1	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.69E00	7.27E-02	NaN	ID2,JAK1,MAP2K3,NOTCH2,PIK3CG,PIK3R1,PIK3R5,RAP1B,RHOA,SMAD3,TYK2,ZEB2	
Type II Diabetes Mellitus Signaling	1.67E00	7.81E-02	1.667	ADIPOR1,MAP3K1,NSMAF,PIK3CG,PIK3R1,PIK3R5,PKM,PRKAB1,PRKCB,TNFRSF1B	
Agrin Interactions at Neuromuscular Junction	1.66E00	1.02E-01	2.449	ACTB,ACTG1,ITGA4,ITGB1,RAC2,RAP1B	
Neuroprotective Role of THOP1 in Alzheimer's Disease	1.64E00	9.21E-02	0.447	CMA1,GZMA,Gzmb,HLA-A,IDE,PRKACB,PRKAR1A	
Thrombopoietin Signaling	1.63E00	1E-01	2.449	PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.63E00	1E-01	2.449	CASP1,CCL4,CCL5,JAK1,PYCARD,TYK2	
ErbB4 Signaling	1.63E00	1E-01	2.449	PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B	
FLT3 Signaling in Hematopoietic Progenitor Cells	1.61E00	9.09E-02	1.890	CBL,INPP5D,PIK3CG,PIK3R1,PIK3R5,RAP1B,STAT4	
Glioblastoma Multiforme Signaling	1.61E00	7.33E-02	2.828	CCND3,Cdc42,FNBP1,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAC2,RAP1B,RHOA,RHOF	
Gap Junction Signaling	1.6E00	7.06E-02	NaN	ACTB,ACTG1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,RAP1B	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.59E00	7.58E-02	2.828	CASP1,CCL5,FASLG,NOD1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,SYK	
P2Y Purigenic Receptor Signaling Pathway	1.58E00	7.89E-02	3.000	GNB1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A,PRKCB,RAP1B	
Amyotrophic Lateral Sclerosis Signaling	1.58E00	8.33E-02	1.414	BCL2L1,CAPN2,CASP1,GRINA,PIK3CG,PIK3R1,PIK3R5,PPP3CA	
Interferon Signaling	1.57E00	1.29E-01	1.000	IFNGR1,JAK1,PTPN2,TYK2	
Leptin Signaling in Obesity	1.56E00	9.68E-02	NaN	PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKAR1A	
NF-κB Signaling	1.56E00	6.98E-02	3.464	AZI2,FCER1G,MALT1,MAP3K1,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKCB,RAP1B,TNFRSF1B	
iNOS Signaling	1.56E00	1.09E-01	2.000	Calm1 (includes others),IFNGR1,IRAK2,JAK1,TYK2	
PEDF Signaling	1.53E00	8.75E-02	1.134	BCL2L1,FASLG,PIK3CG,PIK3R1,PIK3R5,RAP1B,RHOA	
Myc Mediated Apoptosis Signaling	1.53E00	1.06E-01	1.342	BCL2L1,FASLG,PRKACB,PRKAR1A,TNFRSF1B	
Prolactin Signaling	1.51E00	8.64E-02	2.646	FYN,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B	
CD40 Signaling	1.5E00	9.38E-02	2.449	ICAM1,MAP2K3,PIK3CG,PIK3R1,PIK3R5,TRAF1	
Allograft Rejection Signaling	1.49E00	1.04E-01	NaN	B2M,FASLG,FCER1G,HLA-A,PRF1	
Estrogen Receptor Signaling	1.46E00	5.78E-02	2.828	CFL1,GNB1,HSP90AB1,HSP90B1,JAK1,MYL12B,MYL6,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP1R12A,PRKAB1,PRKACB,PRKAR1A,PRKCB,RAP1B,RHOA,RUNX2,TYK2	
Pancreatic Adenocarcinoma Signaling	1.45E00	7.5E-02	2.646	BCL2L1,JAK1,PIK3CG,PIK3R1,PIK3R5,PLD3,RBL2,SMAD3,TYK2	
IL-9 Signaling	1.44E00	1.18E-01	2.000	JAK1,PIK3CG,PIK3R1,PIK3R5	
Gluconeogenesis I	1.44E00	1.5E-01	NaN	ENO1,GAPDH,ME2	
Endoplasmic Reticulum Stress Pathway	1.44E00	1.5E-01	NaN	ATF6,HSP90B1,XBP1	
Acetyl-CoA Biosynthesis III (from Citrate)	1.43E00	1E00	NaN	ACLY	
Thyroid Hormone Biosynthesis	1.43E00	1E00	NaN	CTSD	
Glutamate Biosynthesis II	1.43E00	1E00	NaN	GLUD1	
Glutamate Degradation X	1.43E00	1E00	NaN	GLUD1	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.43E00	1E-01	2.236	CCL5,CCR5,PIK3CG,PIK3R1,PIK3R5	
Chronic Myeloid Leukemia Signaling	1.42E00	7.77E-02	NaN	BCL2L1,CCND3,PIK3CG,PIK3R1,PIK3R5,RAP1B,RBL2,SMAD3	
Tight Junction Signaling	1.4E00	7.04E-02	NaN	ACTB,ACTG1,ARHGEF2,MYL6,PPM1J,PRKACB,PRKAR1A,RHOA,SPTAN1,TNFRSF1B	
Triacylglycerol Biosynthesis	1.4E00	1.14E-01	2.000	AGPAT3,ELOVL1,LPIN1,LPIN2	
Type I Diabetes Mellitus Signaling	1.38E00	7.62E-02	2.449	FASLG,FCER1G,HLA-A,IFNGR1,JAK1,MAP2K3,PRF1,TNFRSF1B	
Angiopoietin Signaling	1.37E00	8.7E-02	NaN	DOK2,NCK1,PIK3CG,PIK3R1,PIK3R5,RAP1B	
ERK5 Signaling	1.37E00	8.7E-02	2.236	MEF2A,MEF2C,RAP1B,SH2D2A,YWHAB,YWHAQ	
Lymphotoxin β Receptor Signaling	1.36E00	9.62E-02	2.000	BCL2L1,PIK3CG,PIK3R1,PIK3R5,TRAF1	
Role of IL-17A in Arthritis	1.36E00	9.62E-02	NaN	CCL5,MAP2K3,PIK3CG,PIK3R1,PIK3R5	
Mechanisms of Viral Exit from Host Cells	1.36E00	1.11E-01	NaN	ACTB,ACTG1,PDCD6IP,PRKCB	
Docosahexaenoic Acid (DHA) Signaling	1.36E00	1.11E-01	NaN	BCL2L1,PIK3CG,PIK3R1,PIK3R5	
α-Adrenergic Signaling	1.32E00	7.87E-02	2.000	Calm1 (includes others),GNB1,PLCG2,PRKACB,PRKAR1A,PRKCB,RAP1B	
Neurotrophin/TRK Signaling	1.32E00	8.45E-02	1.633	MAP2K3,PIK3CG,PIK3R1,PIK3R5,RAP1B,SPRY2	
EGF Signaling	1.3E00	9.26E-02	2.236	JAK1,MAP3K1,PIK3CG,PIK3R1,PIK3R5	
IL-12 Signaling and Production in Macrophages	1.3E00	7.34E-02	NaN	IFNGR1,IL12RB2,IRF8,PIK3CG,PIK3R1,PIK3R5,PRKCB,STAT4	
Calcium Transport I	1.29E00	2E-01	NaN	ATP2A3,ATP2B1	
Phagosome Maturation	1.29E00	6.98E-02	NaN	ATP6V0A2,B2M,CTSA,CTSC,CTSD,CTSW,HLA-A,RAC2,TCIRG1	
B Cell Development	1.28E00	1.3E-01	NaN	HLA-A,PTPRC,SPN	
IL-22 Signaling	1.24E00	1.25E-01	NaN	IL10RB,JAK1,TYK2	
Small Cell Lung Cancer Signaling	1.24E00	7.53E-02	2.236	BCL2L1,CCND3,PIK3CG,PIK3R1,PIK3R5,RBL2,TRAF1	
ErbB2-ErbB3 Signaling	1.22E00	8.77E-02	2.236	PIK3CG,PIK3R1,PIK3R5,RAP1B,TYK2	
STAT3 Pathway	1.22E00	6.77E-02	1.000	IL10RA,IL10RB,IL12RB2,IL18R1,IL18RAP,IL2RB,PTPN2,RAP1B,TYK2	
Autoimmune Thyroid Disease Signaling	1.22E00	1E-01	NaN	FASLG,FCER1G,HLA-A,PRF1	
Xenobiotic Metabolism PXR Signaling Pathway	1.2E00	6.72E-02	0.333	CAMK2G,HS3ST3B1,HSP90AB1,HSP90B1,PPP1CA,PPP1R12A,PRKACB,PRKAR1A,PRKCB	
Coronavirus Pathogenesis Pathway	1.2E00	6.29E-02	0.302	CASP1,CCL5,CCR2,FASLG,JAK1,PYCARD,RBL2,RPS12,RPS18,SMAD3,TYK2	
VEGF Family Ligand-Receptor Interactions	1.2E00	7.89E-02	2.449	PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB,RAP1B	
Mouse Embryonic Stem Cell Pluripotency	1.2E00	7.37E-02	2.646	ID2,JAK1,PIK3CG,PIK3R1,PIK3R5,RAP1B,TYK2	
Communication between Innate and Adaptive Immune Cells	1.18E00	7.79E-02	NaN	B2M,CCL3L3,CCL4,CCL5,FCER1G,HLA-A	
GNRH Signaling	1.16E00	6.37E-02	3.000	Calm1 (includes others),CAMK2G,GNB1,MAP2K3,MAP3K1,PRKACB,PRKAR1A,PRKCB,PTK2B,RAP1B	
CDK5 Signaling	1.16E00	7.22E-02	0.816	ITGB1,PPM1J,PPP1CA,PPP1R12A,PRKACB,PRKAR1A,RAP1B	
MSP-RON Signaling In Macrophages Pathway	1.16E00	7.22E-02	1.890	IFNGR1,ITGAM,ITGB2,PIK3CG,PIK3R1,PIK3R5,RAP1B	
Graft-versus-Host Disease Signaling	1.16E00	9.52E-02	NaN	FASLG,FCER1G,HLA-A,PRF1	
Role of p14/p19ARF in Tumor Suppression	1.15E00	1.15E-01	NaN	PIK3CG,PIK3R1,PIK3R5	
Granzyme A Signaling	1.15E00	1.67E-01	NaN	GZMA,PRF1	
Hypusine Biosynthesis	1.14E00	5E-01	NaN	EIF5A	
Apoptosis Signaling	1.12E00	7.07E-02	0.378	BCL2L1,CAPN2,FASLG,PLCG2,RAP1B,SPTAN1,TNFRSF1B	
IL-17A Signaling in Airway Cells	1.12E00	8.2E-02	2.236	JAK1,PIK3CG,PIK3R1,PIK3R5,TYK2	
LPS-stimulated MAPK Signaling	1.11E00	7.5E-02	2.449	MAP2K3,PIK3CG,PIK3R1,PIK3R5,PRKCB,RAP1B	
Complement System	1.11E00	1.11E-01	NaN	ITGAM,ITGAX,ITGB2	
IL-17 Signaling	1.11E00	6.43E-02	3.000	FASLG,HSP90AB1,HSP90B1,JAK1,MAP2K3,PIK3CG,PIK3R1,PIK3R5,RAP1B	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.11E00	6.21E-02	NaN	CCL5,CCR5,FASLG,ICAM1,IFNGR1,IL10RA,IL18RAP,MYL6,SMAD3,TNFRSF1B	
PFKFB4 Signaling Pathway	1.1E00	9.09E-02	2.000	MAP2K3,PRKACB,PRKAR1A,XDH	
Growth Hormone Signaling	1.07E00	7.94E-02	2.236	PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKCB	
p38 MAPK Signaling	1.07E00	6.86E-02	2.646	FASLG,IL18RAP,IRAK2,MAP2K3,MEF2A,MEF2C,TNFRSF1B	
IL-1 Signaling	1.05E00	7.23E-02	2.236	GNB1,IRAK2,MAP2K3,MAP3K1,PRKACB,PRKAR1A	
G Beta Gamma Signaling	1.03E00	6.73E-02	2.646	GNB1,PIK3CG,PLCG2,PRKACB,PRKAR1A,PRKCB,RAP1B	
Dopamine Receptor Signaling	1.03E00	7.69E-02	NaN	PPM1J,PPP1CA,PPP1R12A,PRKACB,PRKAR1A	
Melanoma Signaling	9.91E-01	8.33E-02	2.000	PIK3CG,PIK3R1,PIK3R5,RAP1B	
