© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
p70S6K Signaling	4.43E00	1.81E-01	0.471	EEF2,F2R,IGHM,IL2RG,IL4R,JAK1,LYN,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPM1J,PRKCB,PRKCQ,RAP1B,RPS6,SYK,YWHAB,YWHAQ	
IL-3 Signaling	4.4E00	2.13E-01	1.500	FOXO1,INPP5D,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PRKCB,PRKCQ,PTPN6,RAP1B,RAPGEF1,STAT1,STAT5B	
FAK Signaling	4.39E00	1.85E-01	NaN	ACTB,ACTG1,ARHGAP26,CAPN2,FYN,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,RAP1B,TLN1	
Clathrin-mediated Endocytosis Signaling	4.37E00	1.63E-01	NaN	ACTB,ACTG1,ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,CBL,CLTC,F2R,HIP1R,HSPA8,ITGB1,ITGB2,ITGB7,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,RAB11A,RPS27A,SH3GL1,SH3KBP1	
Caveolar-mediated Endocytosis Signaling	4.34E00	2.21E-01	NaN	ACTB,ACTG1,B2M,CD48,FLNA,FYN,HLA-A,HLA-E,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7	
GM-CSF Signaling	4.34E00	2.21E-01	1.387	BCL2L1,CAMK2G,ETS1,LYN,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PRKCB,RACK1,RAP1B,STAT1,STAT5B	
Hepatic Fibrosis Signaling Pathway	4.31E00	1.26E-01	1.718	Calm1 (includes others),CAMK4,CCL5,Cdc42,FNBP1,FOXO1,FTH1,ICAM1,IKBKB,IKBKE,IL17RA,IL18RAP,IRAK2,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,JAK1,LEF1,MAP2K3,MYL12B,MYL6,PDK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAC2,RAP1B,RHOA,RHOF,RHOH,SDHA,SMAD3,Tcf7,TGFBR2,TNFRSF1B	
Neuroinflammation Signaling Pathway	4.28E00	1.39E-01	0.707	B2M,CASP1,CCL5,CFLAR,CX3CR1,FASLG,GRINA,HLA-A,HLA-DOB,HLA-E,ICAM1,IDE,IFNGR1,IFNGR2,IKBKB,IKBKE,IL6R,IRAK2,JAK1,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP3CA,PPP3CC,PYCARD,RAC2,STAT1,SYK,TGFBR2,TLR1,TYK2	
Gαq Signaling	4.21E00	1.63E-01	1.706	Calm1 (includes others),CAMK4,Cdc42,FNBP1,GNB1,IKBKB,IKBKE,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PLD3,PPP3CA,PPP3CC,PRKCB,PRKCQ,PTK2B,RAC2,RHOA,RHOF,RHOH	
Chemokine Signaling	4.19E00	2.14E-01	1.807	Calm1 (includes others),CAMK2G,CAMK4,CCL4,CCL5,CCR5,CFL1,PIK3CG,PLCG1,PLCG2,PPP1R12A,PRKCB,PTK2B,RAP1B,RHOA	
Molecular Mechanisms of Cancer	4.13E00	1.22E-01	NaN	ARHGEF1,ARHGEF18,ARHGEF2,ARHGEF3,BCL2L1,CAMK2G,CBL,CCND2,CCND3,Cdc42,CFLAR,DAXX,FASLG,FNBP1,FOXO1,FYN,GNB1,HDAC4,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,JAK1,LEF1,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAC2,RAP1B,RAPGEF1,RASGRP1,RBL2,RHOA,RHOF,RHOH,SMAD3,TGFBR2,TP53,TYK2	
IL-7 Signaling Pathway	4.11E00	2.11E-01	0.535	CCND3,FOXO1,FYN,IGHM,IL2RG,IL7R,JAK1,LYN,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,STAT1,STAT5B	
Paxillin Signaling	4.03E00	1.86E-01	3.051	ACTB,ACTG1,ARF1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,NCK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,TLN1	
Fc Epsilon RI Signaling	4.01E00	1.79E-01	1.414	FCER1G,FYN,GRAP2,INPP5D,LAT,LCP2,LYN,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAC2,RAP1B,SYK	
Protein Kinase A Signaling	3.94E00	1.26E-01	1.183	ADD1,AKAP13,AKAP8,ANAPC5,Calm1 (includes others),CAMK2G,CAMK4,FLNA,GNB1,LEF1,MAP3K1,MYL12B,MYL6,NFATC1,PDE4B,PLCG1,PLCG2,PPP1CA,PPP1R11,PPP1R12A,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,PRKCQ,PTK2B,PTPN2,PTPN22,PTPN4,PTPN6,PTPRC,PTPRE,RAP1B,RHOA,SMAD3,Tcf7,TGFBR2,UBASH3B,YWHAB,YWHAQ	
Semaphorin Signaling in Neurons	3.87E00	2.35E-01	NaN	ARHGAP1,Cdc42,CFL1,DPYSL2,FES,FNBP1,FYN,ITGB1,RAC2,RHOA,RHOF,RHOH	
Thrombin Signaling	3.81E00	1.49E-01	1.342	ARHGEF1,ARHGEF2,ARHGEF3,CAMK2G,CAMK4,Cdc42,F2R,FNBP1,GNB1,IKBKB,MYL12B,MYL6,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP1R12A,PRKCB,PRKCQ,RAC2,RAP1B,RHOA,RHOF,RHOH	
ILK Signaling	3.71E00	1.52E-01	0.894	ACTB,ACTG1,Cdc42,CFL1,FLNA,FNBP1,ITGB1,ITGB2,ITGB7,LEF1,MYH9,MYL6,NACA,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1J,PPP1R12A,RAC2,RHOA,RHOF,RHOH,VIM	
Glycolysis I	3.61E00	3.5E-01	1.134	ALDOA,ENO1,GAPDH,GPI,PFKP,PKM,TPI1	
HGF Signaling	3.59E00	1.63E-01	1.941	ELF4,ETS1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B,RAPGEF1	
Role of PKR in Interferon Induction and Antiviral Response	3.58E00	1.67E-01	0.000	CASP1,FASLG,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPA9,IFNGR1,IFNGR2,IKBKB,IKBKE,IRF9,JAK1,MAP2K3,NPM1,PYCARD,STAT1,TP53,TYK2	
Necroptosis Signaling Pathway	3.55E00	1.58E-01	0.655	CAMK2G,CAPN2,CASP1,CFLAR,CYLD,FASLG,GLUD1,IKBKB,IRF9,JAK1,PELI1,PPP3CA,PPP3CC,PYCARD,RBCK1,RBL2,SLC25A4,STAT1,TNFRSF1B,TP53,TSPO	
Antiproliferative Role of TOB in T Cell Signaling	3.55E00	2.5E-01	2.121	CD247,CD28,CD3D,CD3E,CD3G,FCER1G,PABPC1,SMAD3,TGFBR2,Trbv13-2	
NF-κB Signaling	3.53E00	1.45E-01	0.894	AZI2,CD247,CD3D,CD3E,CD3G,FCER1G,IKBKB,LCK,MALT1,MAP3K1,PELI1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,PRKCB,PRKCQ,RAP1B,TGFBR2,TLR1,TNFRSF1B,Trbv13-2,ZAP70	
Glioma Invasiveness Signaling	3.46E00	2.03E-01	2.111	CD44,Cdc42,F2R,FNBP1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAC2,RAP1B,RHOA,RHOF,RHOH	
IL-9 Signaling	3.44E00	2.65E-01	0.333	IL2RG,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,SOCS3,STAT1,STAT5B	
Epithelial Adherens Junction Signaling	3.44E00	1.59E-01	NaN	ACTB,ACTG1,ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,CLIP1,IQGAP1,LEF1,MYH9,MYL6,NOTCH2,RAP1B,RAPGEF1,RHOA,Tcf7,TGFBR2,TUBB,ZYX	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	3.42E00	1.45E-01	0.408	ETS1,FASLG,FOXO1,ID2,IKBKB,IKBKE,IL6R,JAK1,LTB,MAP2K3,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,RHOA,SMAD3,TGFBR2,TNFRSF1B,TNFSF8,TYK2,VIM,ZEB2	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.41E00	1.25E-01	NaN	Calm1 (includes others),CAMK2G,CAMK4,CCL5,ICAM1,IKBKB,IKBKE,IL16,IL17RA,IL18R1,IL18RAP,IL6R,IL6ST,IRAK2,LEF1,LTB,MAP2K3,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKCB,PRKCQ,RAP1B,RHOA,SOCS3,Tcf7,TLR1,TNFRSF1B,TRAF1	
Germ Cell-Sertoli Cell Junction Signaling	3.4E00	1.51E-01	NaN	ACTB,ACTG1,Cdc42,CFL1,FNBP1,IQGAP1,ITGB1,MAP2K3,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAB8B,RAC2,RAP1B,RHOA,RHOF,RHOH,TGFBR2,TUBB,ZYX	
OX40 Signaling Pathway	3.39E00	2.11E-01	-0.378	B2M,BCL2L1,CD247,CD3D,CD3E,CD3G,CD4,FCER1G,HLA-A,HLA-DOB,HLA-E,Trbv13-2	
Axonal Guidance Signaling	3.39E00	1.14E-01	NaN	ABLIM1,ACTR3,ADAMTS10,ADAMTS14,ARPC1B,ARPC2,ARPC4,ARPC5,CFL1,DPYSL2,FES,FYN,GNB1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,LNPEP,MICAL1,MYL12B,MYL6,NCK1,NFATC1,PFN1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAC2,RAP1B,RASSF5,RGS3,RHOA,SDCBP,SEMA4A,TUBB	
PAK Signaling	3.36E00	1.7E-01	2.714	CFL1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,MYL12B,MYL6,NCK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B	
PTEN Signaling	3.33E00	1.52E-01	0.000	BCL2L1,CBL,FASLG,FOXO1,IKBKB,IKBKE,INPP5D,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAC2,RAP1B,TGFBR2	
NF-κB Activation by Viruses	3.29E00	1.87E-01	0.277	CCR5,CD4,IKBKB,IKBKE,ITGB1,LCK,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCB,PRKCQ,RAP1B	
fMLP Signaling in Neutrophils	3.29E00	1.58E-01	2.357	ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,Calm1 (includes others),CAMK4,GNB1,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PRKCB,PRKCQ,RAC2,RAP1B	
IL-10 Signaling	3.26E00	1.94E-01	NaN	CCR5,FCGR2A,FCGR2B,IKBKB,IKBKE,IL10RA,IL10RB,IL18RAP,IL4R,JAK1,MAP2K3,SOCS3,TYK2	
Remodeling of Epithelial Adherens Junctions	3.24E00	2.03E-01	1.633	ACTB,ACTG1,ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,CLIP1,IQGAP1,Mapre2,TUBB,ZYX	
IL-2 Signaling	3.24E00	2.03E-01	1.155	IL2RB,IL2RG,JAK1,LCK,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,STAT5B,SYK	
HIF1α Signaling	3.24E00	1.37E-01	1.400	CAMK2G,CAMK4,GPI,HSPA5,HSPA8,HSPA9,IL6R,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PKM,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKCB,PRKCQ,RAC2,RACK1,RAP1B,RPS6,SAT1,TP53,VIM	
Ephrin Receptor Signaling	3.23E00	1.39E-01	3.578	ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,CFL1,FYN,GNB1,GRINA,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,NCK1,PIK3CG,RAC2,RAP1B,RAPGEF1,RGS3,RHOA,SDCBP,SH2D3C	
IL-4 Signaling	3.23E00	1.84E-01	NaN	HLA-A,HLA-DOB,IL2RG,IL4R,INPP5D,JAK1,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTPN6,RAP1B,TYK2	
Agranulocyte Adhesion and Diapedesis	3.2E00	1.46E-01	NaN	ACTB,ACTG1,CCL3L3,CCL4,CCL5,CCR2,CCR5,CCR7,CCR9,CXCR6,ICAM1,ITGA4,ITGB1,ITGB2,ITGB7,MSN,MYH9,MYL6,PECAM1,SELL,SELPLG,XCL1	
Cardiac Hypertrophy Signaling	3.19E00	1.32E-01	2.746	Calm1 (includes others),CAMK4,Cdc42,FNBP1,GNB1,IL6R,MAP2K3,MAP3K1,MEF2A,MEF2C,MYL12B,MYL6,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,RAC2,RAP1B,RHOA,RHOF,RHOH,TGFBR2	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	3.19E00	3.04E-01	0.000	IFNGR1,IFNGR2,JAK1,PTPN2,PTPN6,STAT1,TYK2	
Neuregulin Signaling	3.16E00	1.63E-01	0.000	HSP90AB1,HSP90B1,ITGA4,ITGAL,ITGAM,ITGAX,ITGB1,ITGB2,ITGB7,PIK3R1,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B,RPS6,STAT5B	
Unfolded protein response	3.16E00	1.74E-01	0.632	ATF6,CD82,DNAJC1,DNAJC15,DNAJC7,EDEM1,HSP90B1,HSPA5,HSPA8,HSPA9,HSPH1,OS9,P4HB,SREBF2,XBP1	
STAT3 Pathway	3.13E00	1.5E-01	0.000	IL10RA,IL10RB,IL12RB2,IL17RA,IL18R1,IL18RAP,IL21R,IL27RA,IL2RB,IL2RG,IL4R,IL6R,IL6ST,IL7R,PTPN2,PTPN6,RAP1B,SOCS3,TGFBR2,TYK2	
Macropinocytosis Signaling	3.13E00	1.88E-01	1.000	ITGB1,ITGB2,ITGB7,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B,RHOA	
Gα12/13 Signaling	3.13E00	1.58E-01	1.414	ARHGEF1,F2R,IKBKB,IKBKE,LPAR6,MAP3K1,MEF2A,MEF2C,MYL12B,MYL6,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,RHOA,TBXA2R	
iNOS Signaling	3.03E00	2.17E-01	0.000	Calm1 (includes others),CAMK4,IFNGR1,IFNGR2,IKBKB,IKBKE,IRAK2,JAK1,STAT1,TYK2	
Sphingosine-1-phosphate Signaling	3E00	1.63E-01	1.069	CASP1,Cdc42,FNBP1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PTK2B,RAC2,RHOA,RHOF,RHOH,S1PR1,S1PR5	
Glioma Signaling	3E00	1.54E-01	1.155	Calm1 (includes others),CAMK2G,CAMK4,CCND2,CCND3,HDAC4,IDH2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B,RBL2,TP53	
Growth Hormone Signaling	2.98E00	1.9E-01	0.577	PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,PTPN6,SOCS3,STAT1,STAT5B	
eNOS Signaling	2.98E00	1.5E-01	1.000	Calm1 (includes others),CAMK4,HSP90AB1,HSP90B1,HSPA5,HSPA8,HSPA9,LPAR6,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKAB1,PRKACB,PRKAR1A,PRKCB,PRKCQ	
Sperm Motility	2.95E00	1.29E-01	0.905	Calm1 (includes others),CAMK4,CLK1,FES,FYN,GNB1,ITK,JAK1,KIT,LCK,LYN,MAP2K3,PDE4B,PEAK1,PLCG1,PLCG2,PRDX6,PRKACB,PRKAR1A,PRKCB,PRKCQ,PTK2B,STYK1,SYK,TXK,TYK2,ZAP70	
Lipid Antigen Presentation by CD1	2.95E00	2.8E-01	NaN	B2M,CD247,CD3D,CD3E,CD3G,FCER1G,Trbv13-2	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.95E00	2.8E-01	NaN	IL6R,IL6ST,JAK1,SOCS3,STAT1,STAT5B,TYK2	
IL-15 Production	2.92E00	1.56E-01	1.698	CLK1,FES,FYN,ITK,JAK1,KIT,LCK,LYN,MAP2K3,PEAK1,PTK2B,STAT1,STYK1,SYK,TXK,TYK2,ZAP70	
IL-15 Signaling	2.9E00	1.78E-01	1.387	BCL2L1,IL2RB,IL2RG,JAK1,LCK,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,STAT5B,SYK,TYK2	
Insulin Receptor Signaling	2.9E00	1.47E-01	2.065	ACLY,CBL,FOXO1,FYN,INPP5D,JAK1,NCK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP1CA,PPP1R11,PPP1R12A,PRKACB,PRKAR1A,RAP1B,RAPGEF1,SOCS3	
VEGF Signaling	2.89E00	1.65E-01	2.138	ACTB,ACTG1,BCL2L1,FOXO1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PTK2B,PTPN6,RAP1B,SH2D2A	
TREM1 Signaling	2.79E00	1.82E-01	1.155	CASP1,FCGR2B,ICAM1,ITGAX,ITGB1,LAT2,NLRC5,NOD1,PLCG1,PLCG2,STAT5B,TLR1	
Role of NFAT in Cardiac Hypertrophy	2.78E00	1.31E-01	2.294	Calm1 (includes others),CAMK2G,CAMK4,GNB1,HDAC4,IL6ST,MAP2K3,MAP3K1,MEF2A,MEF2C,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B,TGFBR2	
Chronic Myeloid Leukemia Signaling	2.77E00	1.55E-01	NaN	BCL2L1,CCND2,CCND3,HDAC4,IKBKB,IKBKE,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,RBL2,SMAD3,STAT5B,TGFBR2,TP53	
Granulocyte Adhesion and Diapedesis	2.74E00	1.4E-01	NaN	CCL3L3,CCL4,CCL5,CCR2,CCR5,CCR7,CCR9,CXCR6,ICAM1,IL18RAP,ITGA4,ITGAM,ITGB1,ITGB2,MSN,PECAM1,SELL,SELPLG,TNFRSF1B,XCL1	
Insulin Secretion Signaling Pathway	2.71E00	1.24E-01	0.962	CAMK2G,EIF4A2,FYN,JAK1,LCK,LYN,PABPC1,PDHA1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B,RAPGEF4,SPCS2,SPCS3,SSR1,STAT1,STAT4,STAT5B,TYK2	
Senescence Pathway	2.7E00	1.19E-01	0.577	ANAPC5,BHLHE40,Calm1 (includes others),CAMK4,CAPN2,CCND2,CCND3,ELF4,ETS1,IKBKB,IKBKE,MAP2K3,NFATC1,PCGF6,PDHA1,PDK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1J,PPP1CA,PPP3CA,PPP3CC,RAP1B,RASSF5,RBL2,SMAD3,SQSTM1,TGFBR2,TP53	
Hematopoiesis from Pluripotent Stem Cells	2.67E00	2.29E-01	NaN	CD247,CD3D,CD3E,CD3G,CD4,FCER1G,IGHM,Trbv13-2	
Neuropathic Pain Signaling In Dorsal Horn Neurons	2.64E00	1.61E-01	1.069	CAMK2G,CAMK4,GRINA,KCNN4,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ	
Renin-Angiotensin Signaling	2.64E00	1.51E-01	1.807	CCL5,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ,PTK2B,PTPN6,RAP1B,STAT1	
Thrombopoietin Signaling	2.63E00	1.83E-01	0.302	PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B,STAT1,STAT5B	
NRF2-mediated Oxidative Stress Response	2.62E00	1.28E-01	2.111	ACTB,ACTG1,DNAJC1,DNAJC15,DNAJC7,FKBP5,FTH1,HACD3,HERPUD1,HSP90AB1,HSP90B1,JUNB,MAP2K3,MAP3K1,MGST2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCB,PRKCQ,RAP1B,SQSTM1,STIP1	
Telomerase Signaling	2.61E00	1.55E-01	1.069	DKC1,ELF4,ETS1,HDAC4,HSP90AB1,HSP90B1,IL2RB,IL2RG,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1J,RAP1B,TP53	
RANK Signaling in Osteoclasts	2.59E00	1.59E-01	1.604	Calm1 (includes others),CAMK4,CBL,IKBKB,IKBKE,MAP3K1,NFATC1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PPP3CC,PTK2B	
Tumoricidal Function of Hepatic Natural Killer Cells	2.53E00	2.73E-01	NaN	FASLG,ICAM1,ITGAL,M6PR,PRF1,SERPINB9	
JAK/Stat Signaling	2.52E00	1.63E-01	1.941	BCL2L1,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTPN6,RAP1B,SOCS3,STAT1,STAT4,STAT5B,TYK2	
PDGF Signaling	2.52E00	1.63E-01	1.941	INPP5D,JAK1,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,RAP1B,STAT1,TYK2	
CXCR4 Signaling	2.48E00	1.36E-01	2.000	CD4,Cdc42,ELMO2,FNBP1,GNB1,LYN,MYL12B,MYL6,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCB,PRKCQ,RAC2,RAP1B,RHOA,RHOF,RHOH	
Prolactin Signaling	2.48E00	1.6E-01	0.832	FYN,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B,SOCS3,STAT1,STAT5B	
14-3-3-mediated Signaling	2.43E00	1.44E-01	1.732	CBL,FOXO1,PDCD6IP,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKCB,PRKCQ,RAP1B,TUBB,VIM,YWHAB,YWHAQ	
B Cell Development	2.42E00	2.61E-01	NaN	HLA-A,HLA-DOB,IGHM,IL7R,PTPRC,SPN	
Myc Mediated Apoptosis Signaling	2.38E00	1.91E-01	1.667	BCL2L1,CFLAR,FASLG,IKBKB,IKBKE,PRKACB,PRKAR1A,TNFRSF1B,TP53	
SPINK1 General Cancer Pathway	2.38E00	1.91E-01	1.000	GZMA,IL6R,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,TYK2	
HMGB1 Signaling	2.38E00	1.33E-01	2.138	Cdc42,FASLG,FNBP1,ICAM1,IFNGR1,IFNGR2,LTB,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAC2,RAP1B,RHOA,RHOF,RHOH,TNFRSF1B,TNFSF8	
Synaptic Long Term Potentiation	2.35E00	1.42E-01	1.807	Calm1 (includes others),CAMK2G,CAMK4,GRINA,PLCG1,PLCG2,PPP1CA,PPP1R11,PPP1R12A,PPP3CA,PPP3CC,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B	
Breast Cancer Regulation by Stathmin1	2.34E00	1.02E-01	0.905	ADGRE5,ADGRG5,ADORA2A,ARHGEF1,ARHGEF18,ARHGEF2,ARHGEF3,CAMK2G,CAMK4,CCND2,CCND3,CCR2,CCR5,CCR7,CCR9,CNR2,CX3CR1,CXCR6,F2R,GNB1,GPR146,GPR171,GPR183,LPAR6,P2RY10,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAC2,RAP1B,RHOA,S1PR1,S1PR5,TBXA2R,TP53,TUBB,VIPR1	
Superpathway of Inositol Phosphate Compounds	2.33E00	1.21E-01	1.606	CDIPT,INPP5D,IP6K1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PPM1H,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PPP1R16B,PPP3CA,PPP3CC,PTPN2,PTPN22,PTPN6,PTPRC,SOCS3,SSH1,SSH2	
IL-22 Signaling	2.32E00	2.5E-01	0.816	IL10RB,JAK1,SOCS3,STAT1,STAT5B,TYK2	
Role of Tissue Factor in Cancer	2.32E00	1.44E-01	NaN	BCL2L1,CFL1,FYN,ITGB1,LCK,LYN,P4HB,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PTK2B,RAP1B,STAT5B,TP53	
Pathogenesis of Multiple Sclerosis	2.26E00	5E-01	NaN	CCL4,CCL5,CCR5	
MSP-RON Signaling Pathway	2.25E00	1.84E-01	NaN	ACTB,ACTG1,CCR2,ITGAM,ITGB2,PIK3CD,PIK3CG,PIK3R1,PIK3R5	
nNOS Signaling in Neurons	2.22E00	1.95E-01	1.342	Calm1 (includes others),CAMK4,CAPN2,GRINA,PPP3CA,PPP3CC,PRKCB,PRKCQ	
Colorectal Cancer Metastasis Signaling	2.2E00	1.14E-01	1.460	BCL2L1,Cdc42,FNBP1,GNB1,IFNGR1,IL6R,IL6ST,JAK1,LEF1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAC2,RAP1B,RHOA,RHOF,RHOH,SMAD3,STAT1,Tcf7,TGFBR2,TLR1,TP53,TYK2	
MSP-RON Signaling In Macrophages Pathway	2.2E00	1.44E-01	2.138	HLA-DOB,IFNGR1,IFNGR2,IKBKB,IKBKE,ITGAM,ITGB2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,SOCS3,STAT1	
Synaptogenesis Signaling Pathway	2.19E00	1.13E-01	2.117	ACTR3,ARPC1B,ARPC2,ARPC4,ARPC5,Calm1 (includes others),CAMK2G,CAMK4,CFL1,FYN,GRINA,HSPA8,LCK,LYN,NAP1L4,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,RAP1B,RAPGEF1,RASGRP1,RHOA,TLN1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	2.16E00	1.48E-01	NaN	CD247,CD28,CD3D,CD3E,CD3G,FASLG,FCER1G,HLA-A,HLA-DOB,IGHM,LTB,TLR1,Trbv13-2	
