© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Endocannabinoid Cancer Inhibition Pathway	2.45E00	1.12E-01	NaN	ATF4,CASP1,CASP4,CASP9,CREB5,MAPK3,NSMAF,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKAB1,PRKACB,SPTLC2,TCF4,VEGFC	
ID1 Signaling Pathway	2.45E00	1.02E-01	NaN	ABI1,ATF6,BHLHE40,Bhlhe41,CHRNE,FYN,LYN,MAPK3,MCAM,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SEMA4C,SMAD3,TGFB3,VEGFC	
Insulin Secretion Signaling Pathway	2.43E00	9.4E-02	NaN	ATF4,CACNB4,CAMK2B,CAMK2G,CREB5,EIF4E3,FYN,GNAS,GOSR1,JAK1,KCNJ8,LYN,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,RYR3,SPCS3,SSR1,STAT4,TYK2,VAMP3	
Sertoli Cell-Sertoli Cell Junction Signaling	2.43E00	9.66E-02	NaN	AFDN,ATF4,CDH22,CREB5,CTNNA1,IL18RAP,IL1RAP,ITGA2,ITGB1,MAPK3,MYO7A,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,TGFB3,TJP1,TJP2,TUBA8,TUBB6	
IL-17 Signaling	2.42E00	1.08E-01	NaN	CSF2,FASLG,IFNG,IL15,JAK1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,TAB2,TGFB3,TNFSF12,VEGFC	
Wound Healing Signaling Pathway	2.41E00	9.62E-02	NaN	CCL5,CMA1,COL19A1,COL8A2,CSF2,FASLG,IFNG,IFNGR1,IL15,IL18RAP,IL1RAP,ITGB1,JAK1,MAPK3,NFKB1,PDGFB,RAP2A,RAP2B,SOS2,TGFB3,TNFSF12,TYK2,VEGFC	
Pyroptosis Signaling Pathway	2.39E00	1.33E-01	NaN	AIM2,CASP1,CASP4,CASP9,GBP4,GZMA,NAIP,NFKB1,NLRP10,PRKACB,TLR4	
Opioid Signaling Pathway	2.35E00	9.26E-02	NaN	ATF4,CACNB4,Calm1 (includes others),CAMK1,CAMK2B,CAMK2G,CREB5,FYN,GNAS,GNB1,GRK5,LYN,MAPK3,NFKB1,PDE1C,PIK3CG,PPP3CA,PRKACB,RAC3,RAP2A,RAP2B,RGS18,RYR3,SOS2,TCF4	
Oxytocin in Brain Signaling Pathway	2.33E00	1.02E-01	NaN	ATF4,CACNB4,Calm1 (includes others),CASP1,CREB5,GNB1,MAPK3,MEF2A,MEF2C,NFKB1,NLRP10,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PTGS1,RAP2A,RAP2B,TLR4	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.33E00	1.02E-01	NaN	CCL5,CCR5,COL19A1,COL8A2,FASLG,IFNG,IFNGR1,IL10RA,IL18RAP,IL1RAP,KLF6,LY96,MYH8,NFKB1,PDGFB,SMAD3,TGFB3,TLR4,VEGFC	
Th2 Pathway	2.31E00	1.15E-01	NaN	CCR5,HLA-A,IFNG,IL12RB2,JAK1,NFKB1,NOTCH2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,STAT4,TBX21,TYK2	
Tumoricidal Function of Hepatic Natural Killer Cells	2.3E00	2.27E-01	NaN	BID,CASP9,FASLG,PRF1,SERPINB9	
Choline Biosynthesis III	2.3E00	2.86E-01	NaN	CHPT1,PCYT1A,PHKA1,PLD1	
Glioma Signaling	2.28E00	1.14E-01	NaN	Calm1 (includes others),CAMK1,CAMK2B,CAMK2G,MAPK3,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2	
Thrombopoietin Signaling	2.26E00	1.43E-01	NaN	GAB2,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B	
Triacylglycerol Biosynthesis	2.26E00	1.54E-01	NaN	ABHD5,AGPAT2,AGPAT3,LPGAT1,LPIN1,LPIN2,PLPP2,PLPP6	
Role of NFAT in Cardiac Hypertrophy	2.23E00	9.59E-02	NaN	CACNB4,Calm1 (includes others),CAMK1,CAMK2B,CAMK2G,GNAS,GNB1,MAPK3,MEF2A,MEF2C,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PRKACB,RAP2A,RAP2B,SOS2,TGFB3	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.22E00	2.17E-01	NaN	IFNG,IFNGR1,JAK1,NFKB1,TYK2	
ERB2-ERBB3 Signaling	2.22E00	1.41E-01	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,TYK2	
Insulin Receptor Signaling	2.21E00	1.09E-01	NaN	FYN,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,PRKACB,RAP2A,RAP2B,RHOQ,SOS2,SYNJ1,TRIP10	
Erythropoietin Signaling Pathway	2.18E00	1.02E-01	NaN	CSF2,FASLG,IFNG,IL15,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAC3,RAP2A,RAP2B,SOS2,TGFB3,TNFSF12,XIAP	
Phosphatidylethanolamine Biosynthesis II	2.18E00	3.75E-01	NaN	CHKA,CHKB,ETNK2	
Lymphotoxin β Receptor Signaling	2.16E00	1.48E-01	NaN	CASP9,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,TRAF1	
IGF-1 Signaling	2.14E00	1.18E-01	NaN	CASP9,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKACB,RAP2A,RAP2B,SOS2,YWHAQ	
fMLP Signaling in Neutrophils	2.12E00	1.09E-01	NaN	ARPC3,Calm1 (includes others),GNAS,GNB1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,RAC3,RAP2A,RAP2B	
Acute Myeloid Leukemia Signaling	2.12E00	1.22E-01	NaN	KIT,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,TCF4	
Superpathway of Inositol Phosphate Compounds	2.12E00	9.38E-02	NaN	DUSP5,ENPP1,MTMR9,NUDT4,PALD1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PIP4P2,PLCG2,PLPP6,PPP1R12A,PPP3CA,PRUNE1,PTPN12,SACM1L,SSH1,SSH3,SYNJ1,UBLCP1	
MSP-RON Signaling Pathway	2.11E00	1.45E-01	NaN	IFNG,IL3RA,ITGAM,PIK3CB,PIK3CG,PIK3R1,PIK3R5,TLR4	
3-phosphoinositide Biosynthesis	2.09E00	9.64E-02	NaN	DUSP5,ENPP1,MTMR9,NUDT4,PALD1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLPP6,PPP1R12A,PPP3CA,PRUNE1,PTPN12,SACM1L,SSH1,SSH3,SYNJ1,UBLCP1	
IL-9 Signaling	2.04E00	1.71E-01	NaN	JAK1,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5	
PPARα/RXRα Activation	2.02E00	9.68E-02	NaN	ADIPOR1,CKAP5,GNAS,GPD2,IL18RAP,IL1RAP,MAPK3,MEF2C,NFKB1,PLCG2,PPARGC1A,PRKAB1,PRKACB,RAP2A,RAP2B,SMAD3,SOS2,TGFB3	
PD-1, PD-L1 cancer immunotherapy pathway	2.02E00	1.18E-01	NaN	HLA-A,IFNG,IFNGR1,JAK1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,SMAD3,TGFB3,TYK2	
IL-8 Signaling	2E00	9.45E-02	NaN	ANGPT1,GNAS,GNB1,ITGAM,ITGAX,MAPK3,MYL12B,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLD1,RAC3,RAP2A,RAP2B,RHOB,RHOQ,VEGFC	
Prolactin Signaling	1.98E00	1.17E-01	NaN	FYN,KCNJ8,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	1.98E00	2.35E-01	NaN	CCL4,CCL5,CSF2,IFNG	
Semaphorin Signaling in Neurons	1.97E00	1.38E-01	NaN	DPYSL5,FES,FYN,ITGB1,MAPK3,RAC3,RHOB,RHOQ	
Cancer Drug Resistance by Drug Efflux	1.97E00	1.38E-01	NaN	ABCG2,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,RAP2A,RAP2B	
VEGF Family Ligand-Receptor Interactions	1.97E00	1.22E-01	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2,VEGFC	
IL-13 Signaling Pathway	1.95E00	1.16E-01	NaN	FOSL2,FYN,JAK1,LYN,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,TGFB3,TYK2	
Regulation of Actin-based Motility by Rho	1.95E00	1.11E-01	NaN	ARPC3,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MYL12B,PPP1R12A,RAC3,RHOB,RHOQ	
Thrombin Signaling	1.95E00	9.17E-02	NaN	ARHGEF2,CAMK1,CAMK2B,CAMK2G,GNAS,GNB1,MAPK3,MYL12B,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP1R12A,RAC3,RAP2A,RAP2B,RHOB,RHOQ	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	1.93E00	9.01E-02	NaN	CSF2,CTSC,CTSD,CTSW,FASLG,FZD5,IFNG,IL15,JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RUNX2,STAT4,TCF4,TGFB3,TNFSF12,TYK2,VEGFC	
PEDF Signaling	1.93E00	1.2E-01	NaN	FASLG,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,TCF4	
Reelin Signaling in Neurons	1.93E00	1.04E-01	NaN	AFDN,ARHGEF2,ARPC3,CAMK2B,CAMK2G,FYN,ITGA5,ITGB1,LYN,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5	
HER-2 Signaling in Breast Cancer	1.92E00	9.13E-02	NaN	ARF6,CASP9,COX6A2,ELF4,FCER1G,FYN,ITGB1,LYN,MAPK3,NFKB1,NUP50,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SMAD3,SOS2,XIAP	
NOD1/2 Signaling Pathway	1.91E00	9.82E-02	NaN	CASP1,CSF2,ERN1,FASLG,HSPA2,IFNG,IL15,MAPK3,NFKB1,NOD1,SLC15A4,TAB2,TGFB3,TLR4,TNFSF12,XIAP	
Pancreatic Adenocarcinoma Signaling	1.89E00	1.06E-01	NaN	CASP9,JAK1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLD1,SMAD3,TGFB3,TYK2,VEGFC	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.89E00	9.55E-02	NaN	IFNG,IFNGR1,IRF8,JAK1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP1R12A,RAC3,RHOB,RHOQ,TLR4,TYK2	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.87E00	9.33E-02	NaN	ADAM17,FZD5,JAK1,MAPK3,NFKB1,NOTCH2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SMAD3,SOS2,TCF4,TGFB3,TYK2,ZEB2	
Cardiac Hypertrophy Signaling	1.87E00	8.76E-02	NaN	ADRB1,CACNB4,Calm1 (includes others),GNAS,GNB1,MAPK3,MEF2A,MEF2C,MYL12B,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PRKACB,RAC3,RAP2A,RAP2B,RHOB,RHOQ,TGFB3	
Gαq Signaling	1.87E00	9.7E-02	NaN	Calm1 (includes others),GNAS,GNB1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD1,PPP3CA,RAC3,RGS18,RHOB,RHOQ	
GP6 Signaling Pathway	1.86E00	1.05E-01	NaN	Calm1 (includes others),COL19A1,COL8A2,FCER1G,FYN,LYN,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,SYK,TLN1	
Docosahexaenoic Acid (DHA) Signaling	1.86E00	1.58E-01	NaN	BID,CASP9,PIK3CB,PIK3CG,PIK3R1,PIK3R5	
AMPK Signaling	1.86E00	8.86E-02	NaN	ADRB1,AK3,ATF4,CHRNE,CREB5,EEF2K,GNAS,GNB1,PFKP,PHLPP2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPARGC1A,PPM1E,PRKAB1,PRKACB,RAB11A,RAB1A,SMARCD3	
Caveolar-mediated Endocytosis Signaling	1.85E00	1.23E-01	NaN	FYN,HLA-A,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,ITSN1	
CDP-diacylglycerol Biosynthesis I	1.84E00	1.79E-01	NaN	ABHD5,AGPAT2,AGPAT3,GPD2,LPGAT1	
Melanoma Signaling	1.82E00	1.4E-01	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B	
Autophagy	1.82E00	9.05E-02	NaN	ATF4,ATG5,BNIP3,Calm1 (includes others),CREB5,DAPK2,ERN1,GABARAPL1,MAPK3,NFKB1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PRKAB1,PRKACB,TLR4	
N-acetylglucosamine Degradation II	1.81E00	5E-01	NaN	GNPDA2,NAGK	
S100 Family Signaling Pathway	1.81E00	7.17E-02	NaN	ADGRL4,ADRB1,AHNAK,ANXA1,ANXA2,ATF4,CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,CCL4,CCR5,CMKLR1,CREB5,CTSD,CX3CR1,ESR1,FCGR2A,FCGR2B,FZD5,GPR137B,GPR160,GPR171,GPRC5A,HRH2,IL10RA,IL10RB,ILK,JAK1,MAPK3,MCAM,NAPSA,NFKB1,P2RY14,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,RAC3,S100A1,S1PR5,SMAD3,TCF4,TGFB3,TLR4,Tpm1,Tpm4,TYK2,VEGFC	
3-phosphoinositide Degradation	1.8E00	9.34E-02	NaN	DUSP5,ENPP1,MTM1,MTMR9,NUDT4,PALD1,PIP4P2,PLPP6,PPP1R12A,PPP3CA,PRUNE1,PTPN12,SACM1L,SSH1,SSH3,SYNJ1,UBLCP1	
Prostate Cancer Signaling	1.8E00	1.06E-01	NaN	ATF4,CASP9,CREB5,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2	
cAMP-mediated signaling	1.79E00	8.85E-02	NaN	ADRB1,ATF4,Calm1 (includes others),CAMK1,CAMK2B,CAMK2G,CREB5,CREM,ENPP1,GNAS,HRH2,MAPK3,P2RY14,PDE1C,PDE2A,PDE4A,PKIG,PPP3CA,PRKACB,RGS18	
GDNF Family Ligand-Receptor Interactions	1.78E00	1.2E-01	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2	
IL-17A Signaling in Airway Cells	1.77E00	1.27E-01	NaN	JAK1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,TYK2	
Huntington's Disease Signaling	1.76E00	8.46E-02	NaN	ATF4,CAPN2,CAPN5,CASP1,CASP4,CASP9,CREB5,CTSD,DNM1L,GNB1,GOSR1,HIP1,HSPA2,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,POLR2E,POLR2I,SOS2,TAF4,VAMP3	
Hematopoiesis from Multipotent Stem Cells	1.76E00	2.73E-01	NaN	CSF2,IL15,IL7	
Nitric Oxide Signaling in the Cardiovascular System	1.75E00	1.04E-01	NaN	ADRB1,CACNB4,Calm1 (includes others),MAPK3,PDE1C,PDE2A,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKACB,VEGFC	
Oxytocin Signaling Pathway	1.74E00	8.42E-02	NaN	ATF4,ATP2B4,CACNB4,Calm1 (includes others),CCL5,CREB5,GNB1,KCNJ8,MAPK3,MEF2C,MYH8,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP1R12A,PPP3CA,PRKAB1,PRKACB,RAP2A,RAP2B,SOS2	
Angiopoietin Signaling	1.74E00	1.18E-01	NaN	ANGPT1,CASP9,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B	
Renal Cell Carcinoma Signaling	1.74E00	1.18E-01	NaN	MAPK3,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2	
RHOGDI Signaling	1.74E00	8.88E-02	NaN	ARHGAP6,ARHGEF2,ARPC3,CDH22,ESR1,GNAS,GNB1,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MYH8,MYL12B,PPP1R12A,RAC3,RHOB,RHOQ	
RANK Signaling in Osteoclasts	1.73E00	1.12E-01	NaN	Calm1 (includes others),MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,TAB2,XIAP	
Induction of Apoptosis by HIV1	1.73E00	1.25E-01	NaN	BID,CASP9,FASLG,NAIP,Naip1 (includes others),NFKB1,TRAF1,XIAP	
Remodeling of Epithelial Adherens Junctions	1.73E00	1.25E-01	NaN	ARF6,ARPC3,CTNNA1,DNM1L,EXOC2,TUBA8,TUBB6,ZYX	
Macrophage Classical Activation Signaling Pathway	1.73E00	9.55E-02	NaN	CCL5,CSF2,FASLG,GBP4,IFNG,IFNGR1,IL15,IRF8,JAK1,LY96,NFKB1,TGFB3,TLR4,TNFSF12,TYK2	
Endoplasmic Reticulum Stress Pathway	1.73E00	2E-01	NaN	ATF4,ATF6,CASP9,ERN1	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.72E00	1.67E-01	NaN	ABHD5,AGPAT2,AGPAT3,GPD2,LPGAT1	
Neutrophil Extracellular Trap Signaling Pathway	1.72E00	7.98E-02	NaN	CASP1,CASP4,CASP9,CCL5,CCR5,COL19A1,COL8A2,FYN,IFNG,ITGA2,ITGAM,ITGB1,LYN,MAPK3,MLKL,NFKB1,PADI4,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,RAC3,SELPLG,SYK,TIRAP,TLR4	
D-myo-inositol-5-phosphate Metabolism	1.7E00	9.09E-02	NaN	DUSP5,ENPP1,MTMR9,NUDT4,PALD1,PIP4P2,PLCG2,PLPP6,PPP1R12A,PPP3CA,PRUNE1,PTPN12,SACM1L,SSH1,SSH3,SYNJ1,UBLCP1	
Role of IL-17A in Arthritis	1.69E00	1.32E-01	NaN	CCL5,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5	
P2Y Purigenic Receptor Signaling Pathway	1.68E00	9.92E-02	NaN	ATF4,CREB5,GNB1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,RAP2A,RAP2B	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	1.68E00	9.04E-02	NaN	FASLG,JAK1,MAPK3,NFKB1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SMAD3,SOS2,TGFB3,TNFSF12,TYK2,ZEB2	
Tumor Microenvironment Pathway	1.67E00	9.2E-02	NaN	CSF2,FASLG,HLA-A,ITGA5,MAPK3,NFKB1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SPP1,TGFB3,VEGFC	
NGF Signaling	1.67E00	1.02E-01	NaN	ATF4,CREB5,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2	
Role of IL-17F in Allergic Inflammatory Airway Diseases	1.66E00	1.43E-01	NaN	ATF4,CCL4,CREB5,CSF2,MAPK3,NFKB1	
Xenobiotic Metabolism General Signaling Pathway	1.66E00	9.85E-02	NaN	GSTA3,GSTM4,GSTM5,MAPK3,NQO2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,UGT1A6,Ugt1a7c	
CD40 Signaling	1.66E00	1.21E-01	NaN	MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PTGS1,TRAF1	
Regulation of eIF4 and p70S6K Signaling	1.65E00	9.14E-02	NaN	EIF3J,EIF4E3,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2	
Phagosome Formation	1.63E00	7.12E-02	NaN	ADGRL4,ADRB1,ARF6,ARPC3,CCR5,CLEC4E,CMKLR1,CX3CR1,DIAPH1,ELMO2,FCER1G,FCGR2A,FCGR2B,FYN,FZD5,GAB2,GPR137B,GPR160,GPR171,GPRC5A,HRH2,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,LYN,MAPK3,MYH8,MYL12B,P2RY14,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD1,RAC3,RAP2A,RAP2B,S1PR5,SOS2,SYK,TLN1,TLR4	
MicroRNA Biogenesis Signaling Pathway	1.63E00	9.09E-02	NaN	ESR1,MAPK3,NUP50,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,POLR2E,POLR2I,PRKRA,RAP2A,RAP2B,SMAD3,TGFB3,XRN1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.62E00	1.19E-01	NaN	CASP1,CCL4,CCL5,IFNG,JAK1,NFKB1,TLR4,TYK2	
Renin-Angiotensin Signaling	1.61E00	1E-01	NaN	CCL5,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,RAP2A,RAP2B,SOS2	
EGF Signaling	1.61E00	1.27E-01	NaN	JAK1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,SOS2	
TNFR2 Signaling	1.61E00	1.56E-01	NaN	NAIP,Naip1 (includes others),NFKB1,TRAF1,XIAP	
Protein Citrullination	1.6E00	4E-01	NaN	PADI2,PADI4	
CDX Gastrointestinal Cancer Signaling Pathway	1.6E00	8.85E-02	NaN	CSF2,FASLG,FZD5,IFNG,IL15,JAK1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAC3,TCF4,TGFB3,TNFSF12,TYK2	
eNOS Signaling	1.59E00	9.4E-02	NaN	Calm1 (includes others),CASP9,CHRNE,ESR1,GNAS,HSPA2,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKAB1,PRKACB,VEGFC	
STAT3 Pathway	1.59E00	9.63E-02	NaN	IL10RA,IL10RB,IL12RB2,IL18R1,IL18RAP,IL20RB,IL3RA,MAPK3,PDGFB,PIAS3,RAP2A,RAP2B,TYK2	
Gap Junction Signaling	1.58E00	8.81E-02	NaN	ADRB1,GNAS,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,PRKACB,RAP2A,RAP2B,SOS2,TJP1,TJP2,TUBA8,TUBB6	
CXCR4 Signaling	1.58E00	9.15E-02	NaN	ELMO2,GNAS,GNB1,LYN,MAPK3,MYL12B,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAC3,RAP2A,RAP2B,RHOB,RHOQ	
Clathrin-mediated Endocytosis Signaling	1.54E00	8.72E-02	NaN	AP4B1,AP4S1,ARF6,ARPC3,DNM1L,HIP1,ITGA5,ITGB1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,RAB11A,SYNJ1,VEGFC	
VEGF Signaling	1.53E00	1.04E-01	NaN	MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SOS2,VEGFC	
LPS-stimulated MAPK Signaling	1.52E00	1.08E-01	NaN	MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,TLR4	
Serotonin Receptor Signaling	1.52E00	7.42E-02	NaN	ADRB1,ATF4,CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,CREB5,FYN,GNAS,GNB1,ITGB1,KALRN,LYN,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD1,PPARGC1A,PPP1R12A,PRKACB,PTGS1,RAC3,RAP2A,RAP2B,RHOB,RHOQ,RYR3,TGFB3,TNNI1	
Glioblastoma Multiforme Signaling	1.5E00	8.93E-02	NaN	FZD5,MAPK3,NF1,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SOS2	
14-3-3-mediated Signaling	1.49E00	9.6E-02	NaN	MAPK3,PDCD6IP,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,TUBA8,TUBB6,YWHAQ	
Ephrin B Signaling	1.49E00	1.13E-01	NaN	ABI1,CAP1,GNAS,GNB1,ITSN1,KALRN,MAPK3,RAC3	
Phagosome Maturation	1.48E00	9.09E-02	NaN	ATP6V1E1,CTSC,CTSD,CTSW,DYNC1LI1,DYNLT3,EEA1,GOSR1,HLA-A,RAC3,TCIRG1,TUBA8,TUBB6,VAMP3	
TEC Kinase Signaling	1.48E00	7.55E-02	NaN	FASLG,FCER1G,FYN,GNAS,GNB1,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,JAK1,LYN,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAC3,RHOB,RHOQ,STAT4,TLR4,TNFSF12,Trbd1,Trbj1-1,Trbj1-2,TYK2	
Sperm Motility	1.47E00	8.2E-02	NaN	Calm1 (includes others),FER,FES,FYN,GNAS,GNB1,JAK1,KIT,LTK,LYN,PDE1C,PDE2A,PDE4A,PEAK1,PLCG2,PRKACB,ROR1,STYK1,SYK,TYK2	
Endocannabinoid Developing Neuron Pathway	1.47E00	9.52E-02	NaN	ATF4,CREB5,GNB1,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRKACB,RAC3,RAP2A,RAP2B	
IL-22 Signaling	1.46E00	1.67E-01	NaN	IL10RB,JAK1,MAPK3,TYK2	
Neuropathic Pain Signaling in Dorsal Horn Neurons	1.45E00	1.01E-01	NaN	CAMK1,CAMK2B,CAMK2G,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB	
UDP-N-acetyl-D-glucosamine Biosynthesis II	1.44E00	3.33E-01	NaN	GFPT1,GFPT2	
Glycogen Biosynthesis II (from UDP-D-Glucose)	1.44E00	3.33E-01	NaN	GBE1,UGP2	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.44E00	8.77E-02	NaN	DUSP5,ENPP1,MTMR9,NUDT4,PALD1,PLPP6,PPP1R12A,PPP3CA,PRUNE1,PTPN12,SACM1L,SSH1,SSH3,SYNJ1,UBLCP1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.44E00	8.77E-02	NaN	DUSP5,ENPP1,MTMR9,NUDT4,PALD1,PLPP6,PPP1R12A,PPP3CA,PRUNE1,PTPN12,SACM1L,SSH1,SSH3,SYNJ1,UBLCP1	
